source_row,tweet,tweet_label,keyword,subjects,subjects_scored,stance,stance_reason,Unnamed: 10,matched keyword
1543350,"Never forget #Modi has killed people just for chest-thumping and his image glorification:-

- Demonetization
- Idiotic unplanned Lockdown 
- Pulwama 
- Galwan 
- CAA NRC
- 370 
- #COVID19India -&gt;Diya, Thali &amp; data fudging 
- Kumbh
- Election rallies
- Farmers Protest 
#ResignModi",Pro OPP,caa,"['india', 'killed', 'election']","[{'text': 'india', 'score': 0.4424}, {'text': 'killed', 'score': 0.4077}, {'text': 'election', 'score': 0.2795}]",Against,calls for the resignation of Modi due to his blood spilling politics.,,
1720487,"My warm birthday greetings to one of the most awesome, rocking Congress spokesperson!!

 Happy Birthday @Pawankhera ji  🎂 🎉 

@mehek @IncSapphire @cleviic @tanveer1729 @alamgirizvi @Sunil_SharmaINC @aawara_aatma  @_iamSAIl @RutvikSubhedar  @sursmi https://t.co/ntvDAM30ve",Pro OPP,caa,"['congress', 'birthday', 'rocking']","[{'text': 'congress', 'score': 0.5517}, {'text': 'birthday', 'score': 0.4893}, {'text': 'rocking', 'score': 0.2596}]",Neutral,no stance on CAA being taken.,,
563416,So any small group can hold the great majority hostage to narrow interests? The great majority of farmers have welcomed this! Only 6% of farmers mostly the rich ones in Punjab and Haryana benefit from MSP and the middlemen are behind this! Like the fake anti CAA protests! https://t.co/THcLpL8RE2,Pro Ruling,caa,"['farmers', 'majority', 'hostage']","[{'text': 'farmers', 'score': 0.4136}, {'text': 'majority', 'score': 0.3555}, {'text': 'hostage', 'score': 0.1665}]",For,"calls anti-caa protests ""fake"".",,
287894,"#StopProvokingIndia | We will stop the protest tomorrow, just let them take away that anti-India CAA: Tanvir Ahmed, National Spokesperson, JD(S) https://t.co/jghcajZuXf https://t.co/JktHqewTPn",Pro Ruling,caa,"['india', 'protest', 'tanvir']","[{'text': 'india', 'score': 0.5193}, {'text': 'protest', 'score': 0.4793}, {'text': 'tanvir', 'score': 0.2678}]",Against,"calls CAA ""anti-India"".",,
1917039,"2019- They lathicharged on CAA protest

2020- They lathicharged on Farmers protest

2021- They lathicharged on Student protest

2022- Now they are lathicharging on Kashmiri Pandits protest

Anyone protesting angers this Govt.",Pro OPP,caa,"['protesting', '2022', 'farmers']","[{'text': 'protesting', 'score': 0.5353}, {'text': '2022', 'score': 0.3478}, {'text': 'farmers', 'score': 0.1821}]",Against,suggests the hardline and violent measures of Govt for protesting.,,
14927,"Prashant Bhushan detained at Delhi Gate.

#CAAProtest https://t.co/kRDKIrweu3",Pro OPP,caa,"['bhushan', 'detained', 'protest']","[{'text': 'bhushan', 'score': 0.5444}, {'text': 'detained', 'score': 0.5067}, {'text': 'protest', 'score': 0.3303}]",Neutral,"no stance taken, only news delivered.",,
1270731,"#IndiaFightsCorona:

📍 Average daily vaccination rate[in lakh/day] (As on 9th September, 2021)

- Secretary, @MoHFW_INDIA 

#Unite2FightCorona
#StaySafeStayHealthy https://t.co/wCAAFviee3",Pro Ruling,caa,"['vaccination', 'mohfw_india', 'stay']","[{'text': 'vaccination', 'score': 0.4425}, {'text': 'mohfw_india', 'score': 0.3427}, {'text': 'stay', 'score': 0.2276}]",Neutral,no stance on CAA being taken.,,
134507,"Watch | ""Will speak to Amit Shah to give more power to local police"": Delhi CM Arvind Kejriwal 

#DelhiViolence #CAAProtests https://t.co/y279XJJf0J",Pro OPP,caa,"['delhi', 'protests', 'power']","[{'text': 'delhi', 'score': 0.4827}, {'text': 'protests', 'score': 0.4279}, {'text': 'power', 'score': 0.2142}]",Neutral,"no stance taken, only news delivered.",,
205130,"Good decision @narendramodi
@amitshah.

Now be responsible and cancel that 4000 cr npr exercise. That money is better spent on dealing with the crisis. #notocaa_nrc_npr #resistance https://t.co/7CqedXuarq",Pro OPP,caa,"['exercise', 'narendramodi', 'crisis']","[{'text': 'exercise', 'score': 0.3937}, {'text': 'narendramodi', 'score': 0.3811}, {'text': 'crisis', 'score': 0.3672}]",For,subtly suggests that it is a good decision?,,
240553,"Now in Goa, Congress leader Ramkrishna Jalmi has been arrested!

Reason?

Because of his hate speech against Lord Parashuram during anti-CAA rally backed by Goa Church!

Dear Hindus, again I'm reminding you,
anti-CAA protest aims to eliminate us!

Don't forget it!",Pro Ruling,caa,"['ramkrishna', 'arrested', 'protest']","[{'text': 'ramkrishna', 'score': 0.5128}, {'text': 'arrested', 'score': 0.4325}, {'text': 'protest', 'score': 0.3503}]",For,claims that CAA is good as anti-CAA aims to eliminate hindus.,,
646019,"●Assam population: 3.09 Cr
Hindu: 61% Muslim: 34%

●Population Growth:
Hindu: 10.89% Muslim: 29.59%

The growth is 3 times faster than any India state. This why people voted BJP to strictly implement CAA &amp; NRC to stop the demographic shift &amp; save Assam from becoming Kashmir.",Pro Ruling,caa,"['india', 'voted', 'faster']","[{'text': 'india', 'score': 0.4797}, {'text': 'voted', 'score': 0.2313}, {'text': 'faster', 'score': 0.1176}]",For,shows how Muslims are increasing more in Assam than Hindus which is why CAA is justified.,,
52295,"Joe Biden set to become the Next US President

Good thing is Joe is the same guy who was disappointed and against CAA, NRC in Assam and seeked restoration of people's rights in Kashmir.

#USElectionResults2020",Pro OPP,caa,"['election', 'good', 'kashmir']","[{'text': 'election', 'score': 0.4573}, {'text': 'good', 'score': 0.1647}, {'text': 'kashmir', 'score': 0.1236}]",Against,happy for the appointment of Joe Biden as next US president as he was also against CAA.,,
11356,"TONIGHT- Women are protesting in Seelampur-Jaffrabad area in Delhi. They’ve blocked the road outside Jaffrabad metro station.

This, in support of the bandh call given by @BhimArmyChief for Sunday. #AntiCAA_NRC_NPR https://t.co/J03ibtCSjU",Pro OPP,caa,"['protesting', 'women', 'jaffrabad']","[{'text': 'protesting', 'score': 0.5666}, {'text': 'women', 'score': 0.4685}, {'text': 'jaffrabad', 'score': 0.3705}]",Against,shows women's support for anti-CAA.,,
1823612,Emergency Credit Line Guarantee Scheme (ECLGS) has provided much-needed additional credit to more than 130 lakh MSMEs. This has helped them mitigate the adverse impact of the pandemic. #AatmaNirbharBharatKaBudget https://t.co/PALuWTOvAW,Pro Ruling,caa,"['credit', 'msmes', 'pandemic']","[{'text': 'credit', 'score': 0.4575}, {'text': 'msmes', 'score': 0.3309}, {'text': 'pandemic', 'score': 0.2761}]",Neutral,no stance on CAA being taken.,,
461224,"""Unfortunately,any laws which ought to have been scrapped are continued and bureaucracy is exercising powers under them against citizens of free India."" - Bombay HC. #resistance #NoToCAA_NRC_NPR https://t.co/QEKdA4Cct0",Pro OPP,caa,"['bureaucracy', 'india', 'exercising']","[{'text': 'bureaucracy', 'score': 0.486}, {'text': 'india', 'score': 0.4774}, {'text': 'exercising', 'score': 0.0923}]",Against,hashtag calls for citizens to stand against CAA.,,
965341,"Congress party is an idea of terror who imposed emergency, waged war on Sikh minorities, Congress slaughtered Brahmins in MH. 

Bigoted Power monger divided India on religious hatred in BLOODY partition to become PM

Cong allows Pak Zindabad, hinduonse aazadi in CAA protest https://t.co/VXgq9ES6cS",Pro Ruling,caa,"['congress', 'india', 'bloody']","[{'text': 'congress', 'score': 0.5963}, {'text': 'india', 'score': 0.4522}, {'text': 'bloody', 'score': 0.1642}]",For,"shows that by protesting against CAA, congress is promoting Pakistan and terror.",,
569179,"What's the Fuss over #CAA? 
Watch #WhatTheFatah where I expose the hypocrisy of India’s Islamists &amp; Communists who find it hard to give citizenship to Hindus &amp; Sikhs who fled Pakistan and B’Desh to settle in India before 2015. Click👇here for the truth. 
https://t.co/RkmTdPBYKF",Pro Ruling,caa,"['hindus', 'communists', 'hypocrisy']","[{'text': 'hindus', 'score': 0.4967}, {'text': 'communists', 'score': 0.321}, {'text': 'hypocrisy', 'score': 0.1931}]",For,questions why there is a fuss over CAA as Hindus are treated the same in other countries.,,
1553895,"World Health Organization to issue its interim recommendations on the use of the #COVID19Vaccine developed by #AstraZeneca and Oxford University on Wednesday 

#WHO
#oxfordvaccine 
#oxfordastrazeneca https://t.co/dl7lwW7X2L",Pro Ruling,caa,"['vaccine', 'covid19', 'oxford']","[{'text': 'vaccine', 'score': 0.5858}, {'text': 'covid19', 'score': 0.3876}, {'text': 'oxford', 'score': 0.1437}]",Neutral,no stance on CAA being taken.,,
85177,"Well @_sayema 's Karachi wala Khala; @khanumarfa 's Layalpur waali Phoophi, @RanaAyyub 's Bahwalpur waale Maamu and @_sabanaqvi 's Islamabad waale Chacha will provide food to all those Hindus of Pakistan ...this is exaclty why they r opposing #CAA https://t.co/CPkYP3HHsN",Pro Ruling,caa,"['hindus', 'karachi', '_sayema']","[{'text': 'hindus', 'score': 0.541}, {'text': 'karachi', 'score': 0.4524}, {'text': '_sayema', 'score': 0.3578}]",For,mocks whoever is opposing CAA.,,
1020683,"Whatever be circumstance, we will never implement CAA if voted to power:  @RahulGandhi at Assam rally. 
#RahulGandhiWithAssam https://t.co/novZUe6RMj",Pro OPP,caa,"['rahulgandhi', 'rally', 'never']","[{'text': 'rahulgandhi', 'score': 0.5001}, {'text': 'rally', 'score': 0.3523}, {'text': 'never', 'score': 0.2167}]",Against,"congress states how it will never, under any circumstance, implement CAA.",,
179862,"The daft international media thinks #CAA applies to Indian citizens. It doesn’t. Not to Muslims in India, not to ANYONE in India. CAA applies to persecuted minority REFUGEES in 3 neighbouring Islamic countries— Pak, BD &amp; Afgh. Got it guys? @guardian, @WSJ @washingtonpost @nytimes",Pro Ruling,caa,"['indian', 'refugees', 'washingtonpost']","[{'text': 'indian', 'score': 0.4652}, {'text': 'refugees', 'score': 0.4191}, {'text': 'washingtonpost', 'score': 0.0689}]",For,says that CAA supports all Indians.,,
933773,"“It is true that CPI(M) organised many anti-CAA protests, but for us, none of those were sincere. If they were, their government would not have slapped cases against many of the Muslim anti-CAA activists,” said a SDPI functionary. | @RajeevSantharam

https://t.co/c1XH3RcUQ7",Pro OPP,caa,"['protests', 'caa', 'muslim']","[{'text': 'protests', 'score': 0.5781}, {'text': 'caa', 'score': 0.4349}, {'text': 'muslim', 'score': 0.3059}]",Neutral,no stance on CAA being taken.,,
1071892,"An old video of anti-CAA protest outside BHU campus has been falsely shared as a speech by DPS Rajbagh, Valsad teacher. He has been misidentified as ‘Shakeel Ahmed Ansari’. It is noteworthy that Rajbagh is in J&amp;K and Valsad is in Gujarat.

https://t.co/DWqqTGkE9L",Pro OPP,caa,"['gujarat', 'protest', 'misidentified']","[{'text': 'gujarat', 'score': 0.4383}, {'text': 'protest', 'score': 0.4054}, {'text': 'misidentified', 'score': 0.3203}]",Neutral,no stance on CAA being taken.,,
318896,Heartwarming! Muslims in Saharanpur gave up their claim over land in dispute with a Gurdwara. Reason: gratitude for help given by Sikhs during Delhi violence &amp; anti CAA protests. The 2 communities will help lay foundation for each other's place of worship https://t.co/vwYN275aJq,Pro OPP,caa,"['saharanpur', 'protests', 'gratitude']","[{'text': 'saharanpur', 'score': 0.6136}, {'text': 'protests', 'score': 0.3882}, {'text': 'gratitude', 'score': 0.3615}]",Against,shows how muslims and sikhs support each other.,,
763460,"I'd rather have India without education if that's the price to be paid for making it dry - Gandhi

Alcohol consumption is banned in walled Holy Amritsar, in Holy Mecca, and now in Holy Mathura.

I am AGAINST prohibition. But if you are selectively against it, you are a HYPOCRITE.",Pro Ruling,caa,"['india', 'banned', 'hypocrite']","[{'text': 'india', 'score': 0.4355}, {'text': 'banned', 'score': 0.306}, {'text': 'hypocrite', 'score': 0.2063}]",Neutral,no stance on CAA being taken.,,
200717,"""An atmosphere of hate was systematically built up. The whole purpose of it was to suggest that only one community has a veto over decision-making in India""
~ @swapan55 puts #CAAprotests and #DelhiRiots in context brilliantly. https://t.co/qwTfhLWpZv",Pro Ruling,caa,"['protests', 'india', 'swapan55']","[{'text': 'protests', 'score': 0.4963}, {'text': 'india', 'score': 0.3381}, {'text': 'swapan55', 'score': 0.1655}]",For,shows that the atmosphere of hate is not due to CAA.,,
590742,"“Maybe we are getting to know who our friends really are (in the world),” said EAM S Jaishankar while answering a question on international criticism of the Indian government after #CAA and #DelhiViolence.
https://t.co/e66MFuLbm5",Pro OPP,caa,"['friends', 'indian', 'violence']","[{'text': 'friends', 'score': 0.5125}, {'text': 'indian', 'score': 0.4412}, {'text': 'violence', 'score': 0.211}]",For,those who don’t support CAA internationally are not friends of India.,,
1845764,"Reclaiming #Hindu identity, again: A #Dalit journey in America. A heart warming at the same time pained expression of feelings by Aldrin Deepak. 🙏

If you have time only for one article today, READ this.  https://t.co/rfX9rEpMrV",Pro Ruling,caa,"['hindu', 'feelings', 'deepak']","[{'text': 'hindu', 'score': 0.6954}, {'text': 'feelings', 'score': 0.3545}, {'text': 'deepak', 'score': 0.3125}]",Neutral,no stance on CAA being taken.,,
76708,"Haan, Yeh dil hai Hindustani 🇮🇳 

A tribute to the CAA-NRC protests across the world https://t.co/ECA3lfLRyZ",Pro OPP,caa,"['protests', 'hindustani', 'tribute']","[{'text': 'protests', 'score': 0.6269}, {'text': 'hindustani', 'score': 0.5122}, {'text': 'tribute', 'score': 0.3909}]",Against,tribute to anti-CAA protests across the world.,,
606385,"Dr Amjad Mirza MusIim from Mirpur PoK openly SUPPORTS PRO CAA Rally in London after witnessing persecution of Minorites in Pakistan: ""SHAME that Congress along with Communists are bent on destroying India"" #Support_CAA_and_NRC https://t.co/0Qp5UWjCyh",Pro Ruling,caa,"['rally', 'india', 'dr']","[{'text': 'rally', 'score': 0.4996}, {'text': 'india', 'score': 0.3104}, {'text': 'dr', 'score': 0.0606}]",For,hashtag suggests support for CAA.,,
98469,"HK-based South China Morning Post (@SCMPNews) traces one of the first #coronavirus cases to a Chinese individual going back to Nov 17, 2019 @XHNews @globaltimesnews https://t.co/WpQCAA56nD",Pro Ruling,caa,"['coronavirus', 'china', 'xhnews']","[{'text': 'coronavirus', 'score': 0.6762}, {'text': 'china', 'score': 0.3852}, {'text': 'xhnews', 'score': 0.1783}]",Neutral,no stance on CAA being taken.,,
363589,"UP police serves notice of arrest to former governor for CAA protest!

Aziz Qureshi said that Muslims are equal citizens of India who have equal rights &amp; they should not be begging for their rights but should snatch them with inner strength

@SravaniSarkar https://t.co/TeuIlaUQ2C",Pro OPP,caa,"['muslims', 'police', 'governor']","[{'text': 'muslims', 'score': 0.4545}, {'text': 'police', 'score': 0.3788}, {'text': 'governor', 'score': 0.2462}]",Against,shows how former governor was arrested for speaking up for muslim rights.,,
169476,"During anti CAA protests in Delhi:

Jamia student Shadab Najar was injured from a bullet fired by a man named Gopal

Today, when terrorist Riyaz Naikoo is killed:

The same Shadab Najar is talking against India, supporting terrorists in J&amp;K and wants terrorism for so called Azadi https://t.co/SN3vKD9zc9",Pro Ruling,caa,"['killed', 'shadab', 'protests']","[{'text': 'killed', 'score': 0.4312}, {'text': 'shadab', 'score': 0.4288}, {'text': 'protests', 'score': 0.3605}]",Against,shows double standards of anti-CAA protesters.,,
278562,"2016: Jat reservation protests.
2017: Kisan Sangharsh protests for loan waiver.
2018: ""Agrarian crisis"" farmer protests.
2019: Anti CAA protests.
2020: Punjab farmers protests.

Looks like at least one major protest each year against Narendra Modi govt in Dilli. Cottage industry?",Pro Ruling,caa,"['protests', '2020', 'farmer']","[{'text': 'protests', 'score': 0.5033}, {'text': '2020', 'score': 0.2439}, {'text': 'farmer', 'score': 0.2345}]",Against,one major protest every year against Modi.,,
1006915,"Investigation initiated against Swara Bhaskar in an FIR lodged during Anti-CAA Protests in Muzaffarnagar, UP on NCPCR’s direction u/s 22 of POCSO act for falsely reporting of Child S€xual abuse",Pro Ruling,caa,"['investigation', 'muzaffarnagar', 'protests']","[{'text': 'investigation', 'score': 0.5244}, {'text': 'muzaffarnagar', 'score': 0.3677}, {'text': 'protests', 'score': 0.299}]",Neutral,no stance on CAA being taken.,,
589901,Show me one percent Muslim in India who has condemned Islamic radicalism. One percent Muslim who has condemned the AntiCAA protest. One percent Muslim who have condemned the rants of the Owaisi brothers. https://t.co/lkbAI2W3YJ,Pro Ruling,caa,"['muslim', 'india', 'percent']","[{'text': 'muslim', 'score': 0.5204}, {'text': 'india', 'score': 0.3132}, {'text': 'percent', 'score': 0.3086}]",For,shows that anti-caa protests should be condemend by muslims.,,
738854,"""Come what may, we will never allow CAA"": Congress leader Rahul Gandhi in Sivasagar rally #Assam https://t.co/8S2416y5pd",Pro OPP,caa,"['gandhi', 'congress', 'rally']","[{'text': 'gandhi', 'score': 0.4897}, {'text': 'congress', 'score': 0.3959}, {'text': 'rally', 'score': 0.3823}]",Against,"congress states how it will never, under any circumstance, implement CAA.",,
318982,"620 km Human chain formed in Kerala demanding withdrawal of CAA.

7 Million Malayalis took part.

HISTORIC

#CAA_NRC_Protests 
#KeralaHumanChain 
#IndiaRejectsCAA

https://t.co/LZEz3M6GwU",Pro OPP,caa,"['india', 'chain', 'protests']","[{'text': 'india', 'score': 0.4442}, {'text': 'chain', 'score': 0.2816}, {'text': 'protests', 'score': 0.2504}]",Against,hashtag suggests how india rejects CAA.,,
1861810,"BREAKING: US provides India with CAATSA waiver. The Countering America’s Adversaries Through Sanctions Act (CAATSA) had remained on the table ever since India’s S-400 missile deal with Russia. Waiver, pushed by @RepRoKhanna, affirms India’s independence in defence contracting. https://t.co/fRLpD2035v",Pro Ruling,caa,"['us', 'india', 'sanctions']","[{'text': 'us', 'score': 0.4754}, {'text': 'india', 'score': 0.4746}, {'text': 'sanctions', 'score': 0.4233}]",Neutral,no stance on CAA being taken.,,
67060,"‘Pakistani And Bangladeshi Muslims To Be Thrown Out Of Country’: Shiv Sena After MNS Announces Pro-CAA Rally

https://t.co/51Cvd92woA",Pro Ruling,caa,"['muslims', 'rally', 'thrown']","[{'text': 'muslims', 'score': 0.5098}, {'text': 'rally', 'score': 0.2742}, {'text': 'thrown', 'score': 0.2426}]",For,"shows that indian muslims are safe, not those come from outside countries.",,
161105,"“CAA will not affect Muslims of our country”: Superstar Rajnikanth backs Citizenship Amendment Act, says NPR is a necessity  https://t.co/n12V9Y6JIH via @eOrganiser",Pro Ruling,caa,"['citizenship', 'muslims', 'will']","[{'text': 'citizenship', 'score': 0.4605}, {'text': 'muslims', 'score': 0.4472}, {'text': 'will', 'score': 0.1156}]",For,shows how celebrities also claim that CAA will not impact muslims of India.,,
1106630,Finance Minister begins #Budget2021 speech by recounting the unprecedented circumstances through which the nation and the world had to go through and recognizing the service rendered by #COVID Warriors during the crucial months of the pandemic #AatmanirbharBharatKaBudget,Pro Ruling,caa,"['budget', 'pandemic', 'aatmanirbharbharatka']","[{'text': 'budget', 'score': 0.6212}, {'text': 'pandemic', 'score': 0.2079}, {'text': 'aatmanirbharbharatka', 'score': 0.1163}]",Neutral,no stance on CAA being taken.,,
98606,"Few urban naxals say me Dalits are not Hindus &amp; BJP has done nothing to them!

* India's President is a Dalit

* BJP has highest number of Dalit MPs

* CAA will benefit Dalits the most

And yes, Dalits are Hindus",Pro Ruling,caa,"['hindus', 'naxals', 'nothing']","[{'text': 'hindus', 'score': 0.5716}, {'text': 'naxals', 'score': 0.3536}, {'text': 'nothing', 'score': 0.0787}]",For,claims that CAA will help Dalits,,
286786,"Protest at Jantar Mantar against #CAA, #NRC and #NPR  https://t.co/lViClNe51y",Pro OPP,caa,"['protest', 'against', 'caa']","[{'text': 'protest', 'score': 0.7404}, {'text': 'against', 'score': 0.3719}, {'text': 'caa', 'score': 0.3436}]",Neutral,"no stance taken, only news delivered.",,
180106,"Supreme Court is hearing a plea by Sharjeel Imam for consolidation of FIRs filed against him across the country. 
As many as 5 FIRs have been filed against him for sedition and other grave crimes for protesting against the Citizenship (Amendment) Act.
#SharjeelImam
#CAA_NRC_NPR",Pro OPP,caa,"['court', 'firs', 'protesting']","[{'text': 'court', 'score': 0.4211}, {'text': 'firs', 'score': 0.3134}, {'text': 'protesting', 'score': 0.3129}]",Against,"calls protesting against CAA a ""grave crime"".",,
859143,CBI has now filed a criminal case against UK-based Cambridge Analytica and Global Science Research Ltd for illegal harvesting of personal data from FB users in India - had exposed how Congress darbar wanted to use CA for manipulating voters https://t.co/xbI2dyjmoG https://t.co/Hu6hRstxm0 https://t.co/cwf36wwHi6,Pro Ruling,caa,"['cbi', 'india', 'congress']","[{'text': 'cbi', 'score': 0.3682}, {'text': 'india', 'score': 0.3087}, {'text': 'congress', 'score': 0.2782}]",Neutral,no stance on CAA being taken.,,
598602,CAA: IIT-Kanpur says recitation of Faiz’s poem ‘Hum Dekhenge’ during protest was ‘unsuitable’ https://t.co/0adCX68e5M,Pro OPP,caa,"['poem', 'protest', 'unsuitable']","[{'text': 'poem', 'score': 0.5215}, {'text': 'protest', 'score': 0.4897}, {'text': 'unsuitable', 'score': 0.4033}]",Neutral,no stance on CAA being taken.,,
385023,"The Vice President presenting the Indian Science Congress Association (ISCA) Awards, Young Scientist Awards and Best Poster Awards during the 107th Indian Science Congress at Bengaluru today. https://t.co/W8cCudY63a",Pro Ruling,caa,"['presenting', 'indian', 'isca']","[{'text': 'presenting', 'score': 0.4946}, {'text': 'indian', 'score': 0.2621}, {'text': 'isca', 'score': 0.2604}]",Neutral,no stance on CAA being taken.,,
861855,"""Rahul Gandhi must remember that the anti-Sikh riots happened during the Congress regime. Your party opposes the CAA but the law will benefit Sikhs from neighbouring countries"": Sidharth Nath Singh (@SidharthNSingh), UP Cabinet Minister https://t.co/T9hiOtSq5L",Pro OPP,caa,"['sikhs', 'congress', 'riots']","[{'text': 'sikhs', 'score': 0.5332}, {'text': 'congress', 'score': 0.426}, {'text': 'riots', 'score': 0.4052}]",Neutral,"no stance taken, only news delivered.",,
80531,"Anti CAA protests in Haryana. ""We are sorry for the inconvenience, but this is a revolution"" https://t.co/cAn3Cbeazm",Pro OPP,caa,"['protests', 'caa', 'haryana']","[{'text': 'protests', 'score': 0.6292}, {'text': 'caa', 'score': 0.4456}, {'text': 'haryana', 'score': 0.4227}]",Against,calls anti-CAA protests a revolution.,,
2443732,"Congress gave tickets to mother of Unnao victim to CAA protester to Tamil actress.

This need to be applauded for sincere efforts of more inclusive politics. Nothing there to taunt or to make nasty comments on it.

Those who does such comments exposing their anti women mentality.",Pro OPP,caa,"['congress', 'victim', 'applauded']","[{'text': 'congress', 'score': 0.4812}, {'text': 'victim', 'score': 0.2199}, {'text': 'applauded', 'score': 0.2168}]",Against,shows that congress sincere efforts to support women affected by CAA should be applauded.,,
72786,"#Verified             #Breaking

👉BJP cancels Kapil Gujjar's membership

👉BJP says it didn't know Kapil had fired at anti-CAA protesters at #ShaheenBagh

👉Kapil had earlier today joined BJP

👉Kapil had in February shot at protesters &amp; said, 'In India, only Hindus will rule'",Pro OPP,caa,"['hindus', 'fired', 'protesters']","[{'text': 'hindus', 'score': 0.4064}, {'text': 'fired', 'score': 0.3125}, {'text': 'protesters', 'score': 0.2888}]",Neutral,"no stance taken, only news delivered.",,
1595017,"#Pseudoliberals
#UrbanNaxals  .
#Lutyensmediafrauds 
Hypocrisy . 

This is India Man . 
We oppose “CAA” because all religions are same . 

We oppose “Uniform Civil Code “ because how can all religions be the same .",Pro Ruling,caa,"['religions', 'liberals', 'media']","[{'text': 'religions', 'score': 0.3787}, {'text': 'liberals', 'score': 0.3636}, {'text': 'media', 'score': 0.3401}]",For,shows double standard of India and its liberals.,,
392880,"Khan has been the founder of Khudai Khidmatgar, an organisation which is based out of Delhi and which had participated in many anti-CAA protests around the country
https://t.co/xMe3jyLamS",Pro Ruling,caa,"['khudai', 'protests', 'organisation']","[{'text': 'khudai', 'score': 0.5556}, {'text': 'protests', 'score': 0.3826}, {'text': 'organisation', 'score': 0.3213}]",Neutral,no stance on CAA being taken.,,
