keyword,tweet,_label_norm,original_author,language
hindu,"Looking forward to address MPs, Lords and Baronesses at the @UKParliament today. 

Extremely proud to be the first filmmakers ever to receive such honour. It’s our mission for the world to recognise Kashmiri Hindu Genocide through our art. 
#HumanityTour 
#TKFAtBritishParliament https://t.co/6hF7MEoDWl",pro ruling,vivekagnihotri,english
hindu,"We have urgent request for 64 #Tarpaulin for 64 homes 

Can 64 Ram Bhakt give one each? 

It cost Rs 450-500

You can see the homes and how pathetic the life is for Hindus in Bengal 

Thank you 

Please contribute here - https://t.co/RkPORewFrl

#HinduLivesMatter… https://t.co/F2tMA8plH4 https://t.co/ApBvdVpS1G",pro ruling,KreatelyMedia,english
hindu,"India has taken up with Bangladeshi authorities the issue of violence targeting Hindu families in Comilla district

https://t.co/qjW3XXwOCF",pro ruling,WIONews,english
hindu,@mybmc @mybmcWardN Dear Sirs Vishwa Hindu Parishad is ready to join MCGM at this hard times with food /ambulance and manpower I.e Bajrangdal cadres will be be more than ready to serve our Mumbaikars....,pro ruling,snshriraj,english
hindu,Failure of Hindu community in Punjab https://t.co/yVCoOnbjcr,pro ruling,noconversion,english
hindu,"India: Muslim-Dominated Village Bans Hindu Religious Celebrations as ‘Sin,’ High Court Steps in https://t.co/vPCRof6Clc https://t.co/Tw0NBDCBvP",pro ruling,jihadwatchRS,english
hindu,"Today too they want free run to insult our deities. They can't tolerate being shown mirror but want to keep humiliating Hindu deities.  

#ShivLing has been abused and when responded back, victim card &amp; even violence card is open.

Disgusting shameless people.",pro ruling,Aabhas24,english
hindu,"Thomas Blom Hansen's new book, 'The Law of Force: The Violent Heart of Indian Politics', argues that Hindu-Muslim antagonism, culminating in the Partition, is the violent foundation of Indian politics. | Peter van der Veer

https://t.co/4UH7wWMitL",pro opposition,thewire_in,english
hindu,A Hindu Right Religious Leader in India openly calling for Myanmar-style ethnic cleansing of Muslims in India https://t.co/i7gtP5IEu5,pro opposition,ashoswai,english
hindu,"Till fairly recently, a Catholic marrying a Protestant in Europe was as frowned upon as a Hindu marrying a Muslim in India. In the Netherlands, a Protestant wife &amp; her Catholic husband were buried in adjoining cemeteries, but united in death through great ingenuity! https://t.co/IQz1uNpC5J",pro opposition,njalva,english
hindu,"Why did the Delhi Police, which comes under a BJP government at the Centre remain completely unresponsive when ‘Hindu’ victims, who were ostensibly being targeted by “Islamist mobs”, were crying for help?

https://t.co/SpCVApGR8N",pro opposition,thewire_in,english
hindu,"In MP, Hindutva Goons took down mosque flags, vandalized the mosque.

Meanwhile Modi is busy safeguarding Reliance Jio's tower from the protesting farmers.

Priorities!",pro opposition,yippeekiyay_dk,english
hindu,"Hinduism has no one God ... there are many Gods.... no centre....multiple centres.....

Christianity, Islam, Judaism have one God..... but many centres with diverse groups reading God differently

And now, Hindutva ....one God / one Centre / one god-king .... almost Chinese",pro opposition,devduttmyth,english
hindu,"Judgment satisfies collective consciousness of Hindutva, Owaisi on ‘obnoxious’ Babri verdict

https://t.co/nCvqNY9KEe",pro opposition,ThePrintIndia,english
hindu,"Mr Modi found him more capable than Hindustan Aeronautics ltd

Struggling Reliance in talks with US school to rent out group HQ https://t.co/ZvsGD7t1Ud",pro opposition,BhavikaKapoor5,english
hindutva,"Rahul Gandhi &amp; Congress consistently echo the Pakistani line on every issue - Hindutva, 370 &amp; Surgical strikes 

Today as we approach the 13th Anniversary of 26/11 the Congress must tell us what or who prevented a robust response post 26/11 like we saw  post Uri &amp; Pulwama.. https://t.co/B6S0RM2PKR",pro ruling,Shehzad_Ind,english
hindutva,"Amit Bhai Shah In Nanded Maharashtra!

#NDAForMaharashtra 
#9YearsOfModiGovernment 
#HindutvaForMaharashtra https://t.co/2yU2d6znJS",pro ruling,thakkar_sameet,english
hindutva,"Thank You @Dev_Fadnavis for personally intervening in this issue 🙏🙏

You are a true protector of Hindutva 

Your Hindutva is from within, an integral part of your soul, unlike the B⛎RKHA of Hindutva that Shiv Sena has been wearing🤨🤨

https://t.co/ILd8yzxIgF https://t.co/ib4LMJlH0a",pro ruling,pallavict,english
hindutva,"Karanataka has proved again that ""Sabka Sath, Sabka Vikas"" Policy doesn't work.

It's high time for Modiji to realize that for political success, he ought to resort to ""Jiska Sath, Uska Vikas"". Hindutva is the only way to power for the BJP. https://t.co/bLp79jqCqw",pro ruling,JaipurDialogues,english
hindutva,"Watch  the biggest #Exclusive on 'Dismantling Global Hindutva' 

Watch Pradeep Bhandari exposing #PakAntiHinduPlot on today's Exclusive Episode of #JantaKaMukadma at 8PM on India News.
@pradip103
@IndiaNews_itv
@JMukadma https://t.co/1Yzhrr8h7Y",pro ruling,jankibaat1,english
hindutva,#DismantlingJihad is possible only with Hindu and Hindutva- hence the global Jihad network is waging a war on Hindus in the name of #DismantlingGlobalHindutva - yes Hindu is Hindutva and Hindutva is Hindu- both are one and same. One is body and other is soul! https://t.co/TA6iAS8740,pro ruling,alok_bhatt,english
hindutva,"Kejriwal INSULTED #VeerSavarkar &amp; Uddhavji joins hands with such people time &amp; again for power

Can you trust Uddhav Thackeray,
the man who FORGOT
own FATHER Balasaheb &amp;
FATHER of Hindutva,Veer Savarkarji?

On Veer Savarkar Punyatithi,

NEVER FORGET 

NEVER FORGIVE

LACHARSHRI🤨 https://t.co/ojPCnjUsAh https://t.co/erjc2oTeO5",pro ruling,pallavict,english
hindutva,Stanford Univ exposes the fraud of #UrbanNaxals. It seems that this ‘Dismantling Global Hindutva’ by hard-core #UrbanNaxals is a big fraud. https://t.co/JQIH1ZX6f1,pro ruling,vivekagnihotri,english
hindutva,Uttar Pradesh is the hotspot of hindutva terrorism. https://t.co/yJSgToRTfv,pro opposition,Gabbar0099,english
hindutva,"Hindutva needs Sedition Law against students and old people to protect itself.
And it will 'save' Hinduism? 
🤣🤣🤣🤣
Hedge your bets, girls.",pro opposition,devduttmyth,english
hindutva,"Hinduism celebrate joy (amrita)
Hindutva celebrates anger (halahal) .... 
Hindutva turns ONAM into Vaman Jayanti 
Hindutva turns AKSHAY TRUTIYA  into Parashuram Jayanti
Festivals of bounty &amp; joy into Memories of conflict &amp; war",pro opposition,devduttmyth,english
hindutva,"Maryam, 10 MONTH OLD baby was also attacked by Hindutva mob in #Delhigenocide . 

She suffered fractures in shoulder/meck area on both sides.

#DelhiGenocide2020 #Delhigenocide https://t.co/gapqzec4lU",pro opposition,imMAK02,english
hindutva,"The BJP-RSS will remain opposed to Caste Census, for it will bound to show that it is 10-15% of the Hindus who lord over the entire community. This can surely upset the Hindutva applecart. | Badri Raina https://t.co/wqYChk5WFa",pro opposition,thewire_in,english
hindutva,"Hanuman, Hindutva, Hijab.... Where does the Karnataka Result leave the debate around religion &amp; electoral politics. @_YogendraYadav &amp; @YrDeshmukh weigh in. Dont miss this riveting political conversation @themojostory here https://t.co/mGkcPcVcR8 https://t.co/gitAq9qIg8",pro opposition,BDUTT,english
hindutva,"Remember the pilot with fabulous moustache rescued from Pakistan during last elections. That hero. His photo was everywhere. 

Why are photos of soldiers killed by Chinese &amp; rescued from Chinese not anywhere. Disproportionate media coverage. 

Why Hindutva, Why? Bharat Mata asks",pro opposition,devduttmyth,english
hindutva,"'The first non-partisan biography of Vinayak Damodar Savarkar seeks to persuade us that Hindutva is an ideology that we must learn to engage with in all seriousness.'

@_YogendraYadav writes in #ThePrintOpinion 

Read: https://t.co/Qq5UsxJAVP https://t.co/iF1E8MHz7H",pro opposition,ThePrintIndia,english
kashmir,"No word against Pakistan sponsored terrorism or sympathy for innocent victims of Pakistani terrorism in Jammu &amp; Kashmir?

No word against Pakistan Army’s atrocities in Balochistan, KPK, PoK?

UN Geneva, working for peace, rights and well-being of terrorists in Pakistan? https://t.co/dsyN94xkY7",pro ruling,AdityaRajKaul,english
kashmir,"3.7 lakh J&amp;K Domicile Certificates Issued. 2.9 lakh in Jammu. 79000 in Kashmir
Omar Abdullah types say  @narendramodi @AmitShah changing J&amp;K's demography!
All Indians incl. J&amp;K have equal rights all over India. Paise Delhi Se Aur Gaali Bharat Ko Nahin Chalega.Says @DostKhan_Jammu",pro ruling,RatanSharda55,english
kashmir,"Kashmiris help their Indian Army jawans after an unfortunate accident took place this morning in Sopore of North Kashmir. Four Indian Army jawans were reportedly injured and immediately rescued by local Kashmiris. 🇮🇳
@ChinarcorpsIA @NorthernComd_IA https://t.co/ZZwjbWE5le",pro ruling,AdityaRajKaul,english
kashmir,"Why is Barkha Dutt looking so different in this video?

Dear @dpradhanbjp pl take strictest action against @Vision_IAS who are brainwashing students with absolute lies and fake lessons. I request Kashmiri Pandit scholars to expose these communal people. https://t.co/DSqWF29A2X",pro ruling,vivekagnihotri,english
kashmir,"Roses in full bloom bloom in Kashmir . They provide colour to peace, progress and prosperity here! #G20 https://t.co/3CMdiMzSNa",pro ruling,amitabhk87,english
kashmir,"In the missing Sikh woman case, many Kashmiris are talking of resolving the matter through talks between religious leaders of two communities. They are worried ""outsiders"" could take advantage of it

Where are all those arguments about 'women's choice' in matters of love now?",pro ruling,swati_gs,english
kashmir,"A lesson not given, is a lesson not learnt. Bhindranwale yesterday, Amritpal today.

My views on the Punjab mayhem, where I mention the 2019 warning by @sushantsareen that the ISI will create a compact between Kashmiri and Khalistani diaspora before 2024: https://t.co/mh4k6657Uu",pro ruling,ARanganathan72,english
kashmir,"Two “Innocent Mathmatecians” are supposed to be sent to meet Albert Einstein By #IndianArmy in Reban Village of Shopian District in #Kashmir. And Pakistanis say India doesn’t give enough opportunities to Kashmiris. 
#TerrorFreeKashmir 🍁 https://t.co/9vakurRsvR",pro ruling,vaibhavUP65,english
kashmir,Do human lives have any value left in this land of lawlessness and impunity. Cold blooded murder by security forces from Kashmir to Nagaland @UNHumanRights https://t.co/9FwCniL3mp,pro opposition,RanaAyyub,english
kashmir,"@ShashiTharoor @OmarAbdullah @INCIndia Listen to every word.

Dr Tharoor's speech was everything
#JammuAndKashmir

https://t.co/TSaVfT7rtn",pro opposition,INCTharoorian,english
kashmir,"The Kashmir Press Club has condemned the assault by police on two photojournalists while they were at work covering a protest in Srinagar.

The journalists, BBC’s Shafat Farooq and freelance photographer Saqib Majeed, were at the Nowhatta area.

https://t.co/ykQ1HrTBYx",pro opposition,thewire_in,english
kashmir,Nothing changes for Kashmiri Pandits. Never ending tragedy. Vultures have exploited the tragedy made millions &amp; moved on happily https://t.co/IDHEZKfkpw,pro opposition,bainjal,english
kashmir,"If Internet is not there in Kashmir, it won't make any difference. There internet is used only for watching dirty films - V K Saraswat, NITI Aayog Member

Seems he is confused between Kashmiris and some BJP members in Karnataka assembly 😁 https://t.co/JXWd0MxtCM",pro opposition,t_d_h_nair,english
kashmir,Hello #Kashmir … https://t.co/FsQKi4u7tH,pro opposition,Supriya23bh,english
kashmir,"@priyankagandhi visited the family of martyr Nishant Sharma in Saharanpur 

Nishant an Army personnel with 61 RR of the Jat Regiment, posted in Rajouri sector of Jammu and Kashmir https://t.co/wC93RimP7b",pro opposition,shakeelNBT,english
kashmir,"Amit Malviya and Kapil Mishra misrepresented Delhi CM Kejriwal's assembly address where he criticised BJP members for promoting 'The Kashmir Files'. They falsely claimed Kejriwal denied atrocities faced by Kashmiri Pandits. #AltNewsFactCheck | @ArchitMeta
https://t.co/YBOPGTfgyO",pro opposition,zoo_bear,english
kashmiri pandits,"#WhatAboutPandits | Amit Shah said we will rehabilitate all Kashmiri Pandits by 2023. The government, in the biggest step to integrate Kashmiri Pandits, abrogated Article 370 &amp; 35A: Sanju Verma, National Spokesperson, BJP https://t.co/RZHKU3wOei https://t.co/AkpK3JWZEy",pro ruling,republic,english
kashmiri pandits,"Those who slammed government for gross underreporting of #COVID19 deaths &amp; claim the number to be in millions

Are now beating their chest to make us believe that only 89 Kashmiri Pandits were killed in Kashmir citing ""official government data""

#TheKashmirFiles",pro ruling,DeepikaBhardwaj,english
kashmiri pandits,Why did @aajtak people not let @sunilJbhat finish his statement/question. Even after 32 years people want to hush up the matter of #KashmiriPandits genocide in a hurry. National channels need to play fair! I am sorry but this was unfair and unjustified!! Disappointed! https://t.co/8lvwtXLPTx,pro ruling,AnupamPKher,english
kashmiri pandits,"First time in the History of J&amp;K, Kashmiri Pandits got two days leave on the eve of Mahashivratri. Lt. Gov. Manoj Sinha declared it.

Earlier, Farooq Abdullah and Mufti used to give two days leave on the eve of Eid but never for Hindu festivals.",pro ruling,abdullah_0mar,english
kashmiri pandits,"3,841 Kashmiri Pandits have returned to the valley in recent years, taken up jobs under the PM’s Rehabilitation Scheme

https://t.co/g7drSNqPhr",pro ruling,OpIndia_com,english
kashmiri pandits,"Kashmiri Pandits today celebrate Sonth - the joyous arrival of Spring in Kashmir. In exile, it has remained a tradition to begin our day by looking into this thaal. When will we celebrate the arrival of justice? #TheKashmirFiles

Photographs: Sonth Thaal from past years at home. https://t.co/tZe3FlZJWc",pro ruling,AdityaRajKaul,english
kashmiri pandits,"Kashmiri Pandits facing casual bigotry—from Clubhouse to Facebook | ⁦@VikramZutshi⁩ | If there is a piece you have to read today, it should be this.  https://t.co/TzitNuV9Y2",pro ruling,AdityaRajKaul,english
kashmiri pandits,"BJP Govt led by PM @narendramodi now has on their shoulders the responsibility to deliver justice to Kashmiri Pandits.

1) Begin speedy trial against Yasin Malik in terror killing cases. End it in six months.

2) Begin re-trial in Bitta Karate cases based on evidence.

Hang them! https://t.co/BOaVYLJq5e",pro ruling,AdityaRajKaul,english
kashmiri pandits,"“Where were U when this Happened to Kashmiri Pandits!” 
All those who have used this question as cover for vested interests,despite knowing there was no twitter back then
I ask them today.Where R You when this is happening to #KashmiriPandits ?
Why aren’t U questioning the govt?",pro opposition,sakshijoshii,english
kashmiri pandits,"Bhakts often talk of Kashmiri Pandits, but never tell what the BJP did for Kashmiri Pandits during their 12Yrs tenure.

BJP knows how to fool Bhakts, who are already fools.",pro opposition,DesiStupides,english
kashmiri pandits,"-BJP, an ally of VP Singh prevailed upon him to dismiss INC-NC Govt then &amp; that Jagmohan becomes Gov J&amp;K
-Kashmiri Pandits left J&amp;K during Jagmohan
-As per Pandits, Modi did NOTHING for them
-Congress-UPA built&amp; allotted 5242 flats in Jammu for KP's at Muthi,Purkhoo &amp; Nagrota. https://t.co/w7Apt2wiYn",pro opposition,rachitseth,english
kashmiri pandits,"27 families part of PM’s special package for Kashmiri Pandits are camping in the open with kids and the elderly after they were evicted from secure accommodation in the Kulgam camp.

Tanushree Pandey @TanushreePande reports for ThePrint 

Read: https://t.co/0sujzokIe3 https://t.co/nS5UzFeERQ",pro opposition,ThePrintIndia,english
kashmiri pandits,"Where are all those who were outraged about the plight of Kashmiri Pandits after a certain film came out a few months ago?

Wonder why they're so silent about the KP cause now, when they're needed.

Sad. https://t.co/EiEKHrcFFy",pro opposition,VishalDadlani,english
kashmiri pandits,"""One year later,  what has changed? Are people alienated, feeling any less so? Is violence any less? Has investment suddenly started flowing in? Is corruption any less and is governance any better? Has there been a reverse exodus of the Kashmiri Pandits?"" asks former J&amp;K CM https://t.co/MNhDTbWxPR",pro opposition,suhasinih,english
kashmiri pandits,Amit Shah Holds High-Level Meet On Targetted Killings Of Kashmiri Pandits https://t.co/qTnCElcdaI https://t.co/Mq7dDquoxm,pro opposition,ndtvfeed,english
kashmiri pandits,"PROPAGANDA OF BJP EXPOSED ON #KashmiriPandits 

Pic 1: BJP @adeshguptabjp quoted an order copy to malign AAP and @msisodia 

Pic 2 : Fact, the quoted lines are from Secretary of Education in 2000, submitted to Congress Govt.

AAP was formed 12 yrs later !!

Shameful by BJP!! https://t.co/cPQNwcNywm",pro opposition,DaaruBaazMehta,english
msp,"Congress claims Pawan Khera, Who had earlier abused PM Modi's father de-planed from taking flight to raipur for unknown reasons.
https://t.co/Lpn04vT2w6",pro ruling,MeghUpdates,english
msp,"Pakistani police are now entering homes of Ahmadi Muslims, penalising them for celebrating Eid and slaughtering animals that Muslims consider qurbani (sacrifice) for Allah because both Sunnis and Shiites don’t consider Ahmadiyyas, Muslims.

Both Ahmadiyyas and Baloch had lent… https://t.co/pxhZShp0VP",pro ruling,AsYouNotWish,english
msp,"In Kharif 2019-20, 41982 procurement centres were established in the Eastern &amp; North Eastern region of the country and 89.54 LMT paddy was procured benefitting 18,82,607 farmers. #MSP #MSPhaiAurRahega @AgriGoI @PMOIndia @nstomar @KailashBaytu @PRupala @PIB_India @MIB_India",pro ruling,mygovindia,english
msp,"Punjab Minister is claiming that they pay MSP ""Directly to farmers via Arhatiyas"" 

Wow. 😂🙏 https://t.co/hmbYQ8fHDh",pro ruling,muglikar_,english
msp,"#BREAKING | AIMIM spokesperson @warispathan  claims he has been put under house arrest by Mumbai Police; he was scheduled to attend a protest led by AIMIM women wing over Karnataka Hijab row

Watch: https://t.co/O0PMqiYLDQ https://t.co/ciHgsVi89A",pro ruling,republic,english
msp,"Who is this young boy delicately holding the plough?

- @GauravTikaitBKU - the dynast of so called Kisan Movement 

- The Kisan Mahapanchayat in Muzaffarnagar was nothing but a show of strength by the Tikait family to get 2022 assembly ticket for Gaurav from SP from the RLD quota https://t.co/7SkzjEVKFQ",pro ruling,shantanug_,english
msp,"A collection of films presented in collaboration with @UNICEFIndia

📽️Screening of ""Dhanak"" directed by Nagesh Kukunoor
 
🗓️: 24th November, 2022
⏲️: 9:15 AM
🎞️Venue: INOX Porvorim (Audi-2)
 
#IFFI53
#IFFI2022 

@ianuragthakur @Murugan_MoS @IFFIGoa @AmritMahotsav @nfdcindia https://t.co/SQFz6uvw2q",pro ruling,MIB_India,english
msp,Panic grips ⁦@cpimspeak⁩ and State Govt as Centre gives nod to NIA probe into #KeralaGoldScandal Smuggling  https://t.co/7NOIRDiIhY,pro ruling,prafullaketkar,english
msp,#NoSpin | Political Activist @_YogendraYadav on rape convict Ram Rahim's parole https://t.co/QnbMUatOrL,pro opposition,ndtv,english
msp,"Ms @priyankagandhi : 

It made me happy to do it &amp; I learnt a very big thing from it

I learnt that nothing is more important than d work u do, without u children don’t prosper, without u family is not happy, when u take care of them that is when they can go out &amp; they can earn https://t.co/jjjjywMPvx",pro opposition,Supriya23bh,english
msp,"BREAKING

AAP RS MP @raghav_chadha submits a Suspension Notice under Rule 267 in Rajya Sabha

He has raised the issue of 'Excluding Punjab Govt' from the committee formed by Central Govt on MSP for Farmers

Most of The selected members selected had extended support to Farm Laws https://t.co/oZupwD3gjc",pro opposition,DaaruBaazMehta,english
msp,"French Agency Confirms #Pegasus Hack, First Government Agency To Do So

Read more: https://t.co/5jUr0kaAHq

NDTV's Arvind Gunasekar reports https://t.co/MCkqKVYeOe",pro opposition,ndtv,english
msp,"What I am saying may sound far-fetched in the current state of affairs but India would greatly benefit with the use of blockchains, specially in public services. 
We could actually create a few municipality/tehsil level pilot projects, maybe even for MSP.",pro opposition,nehajoychauhan,english
msp,"MSP is bigger issue than farm laws, it is the lifeline of Indian farmers … If the central govt genuinely wants to fulfil their promise of doubling the farmers income or accepting the C2 formula of Swaminathan report, then they should accede to this demand

#JittegaKisan",pro opposition,sherryontopp,english
msp,"Today, on Independence Day, farmers will stage peaceful Tiranga Marches nationwide reiterating their demands to Repeal Farm Laws &amp; enact guaranteed law for MSP

#खेती_क़ानूनों_से_आज़ादी_दो https://t.co/e51EOymZSK",pro opposition,Kisanektamorcha,english
msp,"Phew! Smriti finally confirms!

'Please promote event in a big way now, And make sure she feel feels like whole industry is there for her event....'

'Do give me some bulletin points to introduce Smriti..' 
Ok by tonight! 🔥🤣
#ArnabGate https://t.co/WOVS9rKRc4",pro opposition,zoo_bear,english
suicides,"Every year thousands of farmers commit suicide,we are the bread basket of the world but our farmers are the poorest,every year I read and see hundreds of strikes by farmers for reforms,agar sab itne satisfied hain existing structure se toh phir suicides n strikes kaun karta hai? https://t.co/IwNTIIGQlB",pro ruling,KanganaTeam,english
suicides,"Irony commits suicide ! 

SS spokesman Sanjay Gupta doesn’t understand Marathi; can’t answer even a simple Q in Marathi asked by 
non-Marathi manoos  @SureshNakhua  on @Republic_Bharat 

आता कुठे गेली मराठी अस्मिता ?🤨🤨

#Arnab10MinuteNotice https://t.co/JBPPlU3LhG",pro ruling,pallavict,english
suicides,Covid cases farmer suicides vidarbha floods poor Mandir pujari not able to survive palghar lynching small enterprises shutting down &amp; many more such issues to hit MVA Government of @OfficeofUT instead of that we take udta teer of someone else comparing Mumbai with POK 🤦‍♂️#SelfGoal,pro ruling,thakkar_sameet,english
suicides,A section of media is gung-ho over AIIMS forensic report in #SushantSinghRajputDeathCase &amp; has concluded that he died by suicide. Same media Czars are debunking forensic reports of JNMCH Aligarh &amp; Safdarjung hospital of #Hathras victim &amp; crying gang-rape. Agenda Journalism 😠,pro ruling,SinghPramod2784,english
suicides,#Gravitas | The Taliban have reportedly deployed suicide squads at the border with China and Tajikistan. Afghan youth are also being recruited for a special suicide battalion in the Afghan army. @palkisu tells you more about the Taliban's ruthless strategy. https://t.co/AWRyvos1QQ,pro ruling,WIONews,english
suicides,"@priyankac19 Dear Priyankaji,want to discuss Maharashtra?

Then let’s discuss governance policies
fate of 93000 STworkers
power crisis
MPSC exams
half of farmer suicides in India from Maharashtra
VAZEGIRI
2 ministers in jail
D connection
Yashwant Jadhav 41 props in 2yrs
MalvaniPattern
&amp;so on",pro ruling,pallavict,english
suicides,"Barmer: 

Girl ends her life, mentions rape by two in suicide note

Victim said she was taking the extreme step out of fear of being threatened by the two accused

https://t.co/UGVbe2ZpSp

Crying shame that victim commits suicide- shows 0 faith in Rajasthan police 

11/n",pro ruling,Shehzad_Ind,english
suicides,"Lavanya death case: Petition in SC seeks probe into suicide, stringent anti-conversion law

Read @ANI Story | https://t.co/krQZjNuilu
#LavanyaSuicide #supremecourtofindia https://t.co/cIH6vTPzxr",pro ruling,ani_digital,english
suicides,"#भाजपा_है_तो_धोखा_है

BJP-JDU scrapped Mandis in Bihar in 2006, leading to less than 1% grain procurement of targets, widespread poverty, migration of Biharis &amp; farmer suicides. 

Now Bihar farmers want Mandis back, ""like Punjab"" https://t.co/CS4vDAtyhg",pro opposition,geetv79,english
suicides,"What’s the problem @TwitterIndia? My Follower counts being curtailed to cut down my reach? 

Just because I highlight issues of #PaddyProcurement, #ParliamentSession #FarmerSuicides #WomensRights #FarmLaws #journalism?

@paraga @Twitter",pro opposition,KotaNeelima,english
suicides,"AAP tricked Punjab, especially Punjabi farmers. 

#BJPkiAAP in Punjab has presided over:

👉 Arrest warrants against 2000 farmers for outstanding farm loans
👉14 farmer suicides in 25 days 
👉Lowest govt purchase of wheat crops in last 15 yrs 
#AAPisBJP 

https://t.co/pRUZ6egDJ2",pro opposition,geetv79,english
suicides,"This is atrocious reporting.
1. He did not ""commit"" suicide. 
2. You don't have the right to violate his privacy. He may/not have wanted his illness &amp; treatment details revealed publicly.
3.#SuicideReporting guidelines say don't reveal details of method etc for celebrity suicides https://t.co/FPEYOVn1P5",pro opposition,netshrink,english
suicides,"Incident :-  #Demonetization on 8th Nov 2016 

Result :- Banks, Real Estate, Manufacturing devastation, increased unemployment, poverty &amp; farmer suicides, declined demand, High US $, low GDP growth rate, Riots &amp; intl insult

Response :- Nehru did it, Cong is responsible

😑😑😑",pro opposition,BhavikaKapoor5,english
suicides,This is a series of drawings by @soumencreative to draw farmer suicides into focus. It’s titled “Land Of A Thousand Tears” &amp; brings sharp recall to a tragedy forgotten &amp; untended during Covid by the callous @BJP4India government #PMLiesIndiaCries We shall not forgive or forget 😢 https://t.co/YHrTMSwhJy,pro opposition,nandtara,english
suicides,"There was a shocking murder of a businessman in Mahoba in Uttar Pradesh. He had earlier accused the area SP, an IPS officer, of extortion. Forget even questioning the cop, @Uppolice now says Indra Kant Tripathi committed suicide. Welcome to Ram Rajya. Here murders become suicides",pro opposition,rohini_sgh,english
