source_row,tweet,tweet_label,subjects,subjects_scored,keyword,label_norm,matched keyword,stance ,stance reason
2256392,"What innocent common people don’t understand is that #UrbanNaxals employ Bollywood stars and even international celebs to influence policy to keep India disturbed. You saw it in CAA/ Farmer’s protests. So, what @narendramodi says about influencing WB is absolutely correct. https://t.co/AdiKIUAUtk",Pro Ruling,"['naxal', 'india', 'urban']","[{'text': 'naxal', 'score': 0.4997}, {'text': 'india', 'score': 0.39}, {'text': 'urban', 'score': 0.2802}]",farmers protests,Pro Ruling,farmers protests,Against ,equates farmers to urban naxals. claims that main purpose is to disturb india. 
1681269,"#FarmersProtests: Over 300 Twitter handles generated from #Pakistan to disrupt tractor rally, says Delhi Police
 
 #TractorMarch #RepublicDay #RepublicDayIndia 
 
 https://t.co/oEU5NInpjy",Pro Ruling,"['protests', 'tractor', 'india']","[{'text': 'protests', 'score': 0.4313}, {'text': 'tractor', 'score': 0.4035}, {'text': 'india', 'score': 0.1952}]",farmers protests,Pro Ruling,farmers protests,Against ,shows Pakistani links to farmers protest. 
1237306,"This is how @the_hindu reported the Taliban-style execution of a Dalit labourer at the #FarmersProtest site on Singhu border. 
 The photo caption is a reassertion of the paper’s ideology.
 How do they look at their reflection in the mirror? https://t.co/FHjXBYbrf4",Pro Ruling,"['the_hindu', 'taliban', 'mirror']","[{'text': 'the_hindu', 'score': 0.4371}, {'text': 'taliban', 'score': 0.4181}, {'text': 'mirror', 'score': 0.3161}]",farmers protests,Pro Ruling,farmers protests,Against ,implies that farmers follow taliban style execution of dalit minorities. 
1737018,"The most tragic part of these #FarmersProtests is the wedge that is being driven between Hindus and Sikhs, something the Congress has done earlier too, for political gain.",Pro Ruling,"['protests', 'farmers', 'wedge']","[{'text': 'protests', 'score': 0.4823}, {'text': 'farmers', 'score': 0.3757}, {'text': 'wedge', 'score': 0.1871}]",farmers protests,Pro Ruling,farmers protests,Against ,claims that farmers protest is only succeeding in creating a wedge between sikhs and hindus. 
313284,"Bhartiya Kisan Union is leading organiser of farmers protests demanding roll back of Farms Bills. In 2019, @BKU_KisanUnion demanded: abolition of APMCs, full freedom to trade, full freedom to sell, rent &amp; lease farmland, contract farming, repeal of 9th schedule, futures trading. https://t.co/HEZtH5yL83",Pro Ruling,"['farmers', 'bku_kisanunion', 'protests']","[{'text': 'farmers', 'score': 0.4816}, {'text': 'bku_kisanunion', 'score': 0.4317}, {'text': 'protests', 'score': 0.4221}]",farmers protests,Pro Ruling,farmers protests,neutral ,no stance takenn only news delivered. 
783414,"Yogendra Yadav knew that a girl was gangraped on farmer's protest site.. So were many farmer leaders.
 
 But due to their agenda, they kept silent. https://t.co/AbFpj62tGW",Pro Ruling,"['yogendra', 'protest', 'gangraped']","[{'text': 'yogendra', 'score': 0.4702}, {'text': 'protest', 'score': 0.307}, {'text': 'gangraped', 'score': 0.2836}]",farmers protests,Pro Ruling,farmers protests,Against ,shows how farmers raped girls on farmers protest site and senior leadership of the protest stayed silent. 
869342,"Caught on camera (sting) that the Govt machinery in Punjab is, Financially, logistically and by way of manpower supporting the Farmers Protests. 
 One who believes talks will resolve the deadlock is being naive.
 #6monthsRation
 #8RoundsTalks
 #DeadLockContinues https://t.co/DoaI88ejRK",Pro Ruling,"['deadlock', 'farmers', 'protests']","[{'text': 'deadlock', 'score': 0.4138}, {'text': 'farmers', 'score': 0.2549}, {'text': 'protests', 'score': 0.1717}]",farmers protests,Pro Ruling,farmers protests,Against ,believes that farmers protest is going to continue as it supports political agenda. 
1165093,"Cushioned sofas on tractors is not a protest... it is 'protest tourism' to misguide our farmers!
 
 #FarmersProtests #FarmLaws #Farmers #RahulGandhi #congressfreeindia https://t.co/QAeYwPZq9p",Pro Ruling,"['farmers', 'protests', 'sofas']","[{'text': 'farmers', 'score': 0.4624}, {'text': 'protests', 'score': 0.3123}, {'text': 'sofas', 'score': 0.2976}]",farmers protests,Pro Ruling,farmers protests,Against ,"accuses farmers of propogating ""protest tourism"" and being misguided. "
458060,"Bhartiya Kisan Union is leading organiser of farmers protests demanding roll back of Farms Bills. In 2019, @BKU_KisanUnion demanded: abolition of APMCs, full freedom to trade, full freedom to sell, rent &amp; lease farmland, contract farming, repeal of 9th schedule, futures trading. https://t.co/HEZtH5yL83",Pro Ruling,"['farmers', 'bku_kisanunion', 'protests']","[{'text': 'farmers', 'score': 0.4816}, {'text': 'bku_kisanunion', 'score': 0.4317}, {'text': 'protests', 'score': 0.4221}]",farmers protests,Pro Ruling,farmers protests,neutral ,no stance takenn only news delivered. 
215325,"Dissent in Democracy? 
 Or Anarchy?
 Farmers Protests or are 'farmers' an excuse to disrupt law &amp; order.
 Mobile towers: Do they not help with online education? 
 Communication?
 Telemedicine? 
 Banking? 
 Who is disrupting India again &amp; again? 
 Violation of law is totally unacceptable https://t.co/bQW7c27rnD",Pro Ruling,"['democracy', 'farmers', 'telemedicine']","[{'text': 'democracy', 'score': 0.4609}, {'text': 'farmers', 'score': 0.2248}, {'text': 'telemedicine', 'score': 0.1512}]",farmers protests,Pro Ruling,farmers protests,Against ,claims that farmers protest is an excuse to disrupt law and propogate violence. 
1762082,"After Congress toolkit, video of Kamal Nath asking Congress workers to ‘set fire’ over farmers protest surfaces on social media
 
 https://t.co/fYtZelUKXB",Pro Ruling,"['farmers', 'congress', 'media']","[{'text': 'farmers', 'score': 0.3811}, {'text': 'congress', 'score': 0.3674}, {'text': 'media', 'score': 0.2542}]",farmers protests,Pro Ruling,farmers protests,Against ,implies that farmers protest is congress propoganda to spread disruption. 
58963,"Times of India published article: ""Muslim-Sikh Amity"" during the farmers' protests. Nice!
 
 But, TOI should've added those Hindus too who were present in protest where Yograj Singh said ""Inki aurate take-take k bhaw bikti thi"" and they didn't even stop him, might have clapped too.",Pro Ruling,"['hindus', 'protests', 'didn']","[{'text': 'hindus', 'score': 0.6113}, {'text': 'protests', 'score': 0.3729}, {'text': 'didn', 'score': 0.1248}]",farmers protests,Pro Ruling,farmers protests,Against ,shows how farmers protest is insulting hindus and those hindus present during these protests are no better than muslim and sikhs. 
796913,"Khalistani Sponsored Farmers’ Protests Links With Diljit Dosanjh’s Web Of Shell Companies
 
 https://t.co/ARVzzPnc3D",Pro Ruling,"['protests', 'farmers', 'shell']","[{'text': 'protests', 'score': 0.4749}, {'text': 'farmers', 'score': 0.3949}, {'text': 'shell', 'score': 0.1551}]",farmers protests,Pro Ruling,farmers protests,Against ,implies that farmers protest is being sponsored by Khalistanis. 
708319,"Farmers protests. 
 
 Free liquor distribution https://t.co/QXh9sQWATi",Pro Ruling,"['farmers', 'liquor', 'protests']","[{'text': 'farmers', 'score': 0.5226}, {'text': 'liquor', 'score': 0.5209}, {'text': 'protests', 'score': 0.4869}]",farmers protests,Pro Ruling,farmers protests,Against ,equates farmers protest to the free distribution of alcohol. 
322919,"Farmers are worried that solution will be reached &amp; they'll have to go back to work &amp; lose Freebies they're enjoying at #FarmersProtests 😂😂 ""Meeting Chal rahi hai, Kahin Faisla na ho jaye, Wapis jaa kar kaam karna padega Yahan toh Anand hai"" 😂😂 https://t.co/veYZrJJBLW",Pro Ruling,"['farmers', 'protests', 'back']","[{'text': 'farmers', 'score': 0.6109}, {'text': 'protests', 'score': 0.2655}, {'text': 'back', 'score': 0.1597}]",farmers protests,Pro Ruling,farmers protests,Against ,implying that farmers protest is a hoax and an excuse to not work. 
1404889,"Pl stop #FarmersProtests. 
 They are super spreaders. Dangerous for everyone else. 
 
 Ask any doctor, virologist, expert, scientist or even a man with common sense. Except for stupid liberals and frustrated leftists.",Pro Ruling,"['protests', 'farmers', 'virologist']","[{'text': 'protests', 'score': 0.5043}, {'text': 'farmers', 'score': 0.4787}, {'text': 'virologist', 'score': -0.0076}]",farmers protests,Pro Ruling,farmers protests,Against ,claiming that farmers protest is a super spreader of covid and dangerous for everyone. 
1778348,"Farmers protests. 
 
 Free liquor distribution https://t.co/QXh9sQWATi",Pro Ruling,"['farmers', 'liquor', 'protests']","[{'text': 'farmers', 'score': 0.5226}, {'text': 'liquor', 'score': 0.5209}, {'text': 'protests', 'score': 0.4869}]",farmers protests,Pro Ruling,farmers protests,Against ,equates farmers protest to the free distribution of alcohol. 
313787,"New agricultural reforms 2020 will save the lives of several farmers.
 
 #Farmers #FarmersIssue #FarmBills2020 #FarmersProtests https://t.co/crQlRXxjll",Pro Ruling,"['farmers', '2020', 'protests']","[{'text': 'farmers', 'score': 0.5386}, {'text': '2020', 'score': 0.3585}, {'text': 'protests', 'score': 0.256}]",farmers protests,Pro Ruling,farmers protests,Against ,claims that the bills that the farmers are fighting against will actually save the lives of several farmers. 
869924,Those asking for political rallies to stop &amp; kumbh mela to be cut short won’t breathe a word about 5-month-old farmers’ protests. #Superspreaders in #Covid-hit #Punjab are a protected species?,Pro Ruling,"['protests', 'farmers', 'spreaders']","[{'text': 'protests', 'score': 0.3905}, {'text': 'farmers', 'score': 0.3259}, {'text': 'spreaders', 'score': 0.2562}]",farmers protests,Pro Ruling,farmers protests,Against,farmers protest is a super spreader of covid. 
1481824,"Delhi Police squeezes Permission 
 
 5000 Tractors permitted for Rally with proper Documentation like RC etc from 12pm to 5 pm with only 5000 Participants . No deviation from Routes allowed 
 
 #FarmersProtests 
 #TractorMarch",Pro Ruling,"['tractors', 'delhi', 'protests']","[{'text': 'tractors', 'score': 0.4316}, {'text': 'delhi', 'score': 0.2845}, {'text': 'protests', 'score': 0.2833}]",farmers protests,Pro Ruling,farmers protests,neutral ,"no stance taken, only news delivered. "
1447246,"It feels like reading my own book #UrbanNaxals written in 2018 where I exposed their global plan to turnover Indian state with armed revolution in 2020. It’s all coming true.
 
 Take a look at this most important #FarmersProtest strategy PPT made by #UrbanNaxals against India.
 
 1/9 https://t.co/iqQFtUMxzN",Pro Ruling,"['naxal', 'urban', 'farmers']","[{'text': 'naxal', 'score': 0.4802}, {'text': 'urban', 'score': 0.285}, {'text': 'farmers', 'score': 0.2205}]",farmers protests,Pro Ruling,farmers protests,Against ,equates farmers to urban naxals. claims that main purpose is to disturb india and start an armed revolution. 
1465652,Control the so-called farmers protests or people will bring them under control. There is only so much that the public can tolerate.,Pro Ruling,"['protests', 'farmers', 'control']","[{'text': 'protests', 'score': 0.4329}, {'text': 'farmers', 'score': 0.3166}, {'text': 'control', 'score': 0.3058}]",farmers protests,Pro Ruling,farmers protests,Against ,implies that farmers protest is a hoax and needs to be controlled. 
1741412,Kangana Ranaut explodes at Rihanna entering Farmers' protest; says 'sit down you fool' https://t.co/BsbuLj64Ll,Pro Ruling,"['explodes', 'farmers', 'sit']","[{'text': 'explodes', 'score': 0.281}, {'text': 'farmers', 'score': 0.1602}, {'text': 'sit', 'score': 0.1551}]",farmers protests,Pro Ruling,farmers protests,neutral ,"no stance taken, only news delivered. "
1158508,"Delhi Farmers Protest Sites Major Spreader ; Many Covid positive Villagers returning from Delhi border protest sites, causing Covid surge in rural Punjab.
 
 https://t.co/ARBNlNqiOj",Pro Ruling,"['protest', 'farmers', 'border']","[{'text': 'protest', 'score': 0.4202}, {'text': 'farmers', 'score': 0.3597}, {'text': 'border', 'score': 0.1688}]",farmers protests,Pro Ruling,farmers protests,Against ,claiming that farmers protest is a super spreader of covid and dangerous for everyone. 
1120633,"Deep Sidhu arrested!
 
 So if he was a BJP agent why did Delhi police arrest him? And strangely Lakha Singh was spotted at a farmer's protest site! Hmmmmm so who is shielding these ""agents"" ??",Pro Ruling,"['singh', 'arrested', 'protest']","[{'text': 'singh', 'score': 0.4202}, {'text': 'arrested', 'score': 0.3852}, {'text': 'protest', 'score': 0.1537}]",farmers protests,Pro Ruling,farmers protests,Against ,shows duplicity of farmers protest. 
869442,"Farmers protests. 
 
 Free liquor distribution https://t.co/QXh9sQWATi",Pro Ruling,"['farmers', 'liquor', 'protests']","[{'text': 'farmers', 'score': 0.5226}, {'text': 'liquor', 'score': 0.5209}, {'text': 'protests', 'score': 0.4869}]",farmers protests,Pro Ruling,farmers protests,Against ,equates farmers protest to the free distribution of alcohol. 
1558634,"Big twist in farmers conspiracy claim!
 
 In Haryana police's custody, Masked man claims to have been abducted by the protesting farmers.
 
 #FarmersProtests #Farmers #FarmLaws https://t.co/ud2lTqZ7y2",Pro Ruling,"['farmers', 'abducted', 'protesting']","[{'text': 'farmers', 'score': 0.4795}, {'text': 'abducted', 'score': 0.3544}, {'text': 'protesting', 'score': 0.2508}]",farmers protests,Pro Ruling,farmers protests,Against ,"labels farmers protest as a ""conspiracy"". also discusses their violent and mafia like behaviour. "
520753,"Cost of farmers protests so far 70,000 crores, because of dharna economic slowdown in neighbouring industries and small factories, might lead to riots, @diljitdosanjh and @priyankachopra you understand our actions have serious consequences please tell me who will pay for this? https://t.co/1KHSuFyQTo",Pro Ruling,"['protests', 'farmers', 'cost']","[{'text': 'protests', 'score': 0.4316}, {'text': 'farmers', 'score': 0.3748}, {'text': 'cost', 'score': 0.3269}]",farmers protests,Pro Ruling,farmers protests,Against ,suggests that farmers protest would lead to riots and is a very costly endeavor which would burden the Indian economy. 
168852,"Dissent in Democracy? 
 Or Anarchy?
 Farmers Protests or are 'farmers' an excuse to disrupt law &amp; order.
 Mobile towers: Do they not help with online education? 
 Communication?
 Telemedicine? 
 Banking? 
 Who is disrupting India again &amp; again? 
 Violation of law is totally unacceptable https://t.co/bQW7c27rnD",Pro Ruling,"['democracy', 'farmers', 'telemedicine']","[{'text': 'democracy', 'score': 0.4609}, {'text': 'farmers', 'score': 0.2248}, {'text': 'telemedicine', 'score': 0.1512}]",farmers protests,Pro Ruling,farmers protests,Against ,claims that farmers protest is an excuse to disrupt law and propogate violence. 
414460,"Dr. Anand Ranganathan @ARanganathan72 busts the 'Farmers Protests'
 
 With Hindi and Punjabi subtitles
 
 Video by @prachyam7 
 
 #किसान_नहीं_कांग्रेस_परेशान_है https://t.co/XtNdV6YSZK",Pro Ruling,"['protests', 'farmers', 'subtitles']","[{'text': 'protests', 'score': 0.4841}, {'text': 'farmers', 'score': 0.4403}, {'text': 'subtitles', 'score': 0.2394}]",farmers protests,Pro Ruling,farmers protests,Against ,"shows how someone ""bust"" the farmers protest. "
2238348,"Modi Govt in 🔥 Mood Today!
 
 NOW...INCOME TAX DEPT IS CONDUCTING SURVEY ACTION AT ""OXFAM INDIA""(DELHI)!!
 
 Survey Action..1st Step to investigate Money Laundering.Then enters ED!
 
 Oxfam India is NGO funded by SOROS &amp; OMIDYAR! Was involved in Anti-CAA Ri0t$ &amp; Fake Farmers Protests!",Pro Ruling,"['india', 'tax', 'oxfam']","[{'text': 'india', 'score': 0.4761}, {'text': 'tax', 'score': 0.4301}, {'text': 'oxfam', 'score': 0.4204}]",farmers protests,Pro Ruling,farmers protests,Against ,calls farmers protest fake. 
274384,"#WATCH These Haryana farmers completely expose the manufactured #FarmersProtests &amp; the corruption by previous governments..
 
 #FarmersBill2020 https://t.co/6LroetoTsm",Pro Ruling,"['farmers', 'protests', 'bill2020']","[{'text': 'farmers', 'score': 0.5888}, {'text': 'protests', 'score': 0.218}, {'text': 'bill2020', 'score': 0.1591}]",farmers protests,Pro Ruling,farmers protests,Against ,claims that farmers protest is not organic but a manufactured strategy. 
2544623,"Modi Govt in 🔥 Mood Today!
 
 NOW...INCOME TAX DEPT IS CONDUCTING SURVEY ACTION AT ""OXFAM INDIA""(DELHI)!!
 
 Survey Action..1st Step to investigate Money Laundering.Then enters ED!
 
 Oxfam India is NGO funded by SOROS &amp; OMIDYAR! Was involved in Anti-CAA Ri0t$ &amp; Fake Farmers Protests!",Pro Ruling,"['india', 'tax', 'oxfam']","[{'text': 'india', 'score': 0.4761}, {'text': 'tax', 'score': 0.4301}, {'text': 'oxfam', 'score': 0.4204}]",farmers protests,Pro Ruling,farmers protests,Against ,calls farmers protest fake. 
313787,"New agricultural reforms 2020 will save the lives of several farmers.
 
 #Farmers #FarmersIssue #FarmBills2020 #FarmersProtests https://t.co/crQlRXxjll",Pro Ruling,"['farmers', '2020', 'protests']","[{'text': 'farmers', 'score': 0.5386}, {'text': '2020', 'score': 0.3585}, {'text': 'protests', 'score': 0.256}]",farmers protests,Pro Ruling,farmers protests,Against ,claims that the bills that the farmers are fighting against will actually save the lives of several farmers. 
1576034,"As soon cases started rising, Kumbh mela was stopped. Modi’s election rallies stop. While farmers’ protests, opposition rallies &amp; Islamist rallies demanding beheading of blasphemers continue. If someone is quoting the first two while ignoring the rest, he is a Hinduphobic trash.",Pro Ruling,"['hinduphobic', 'election', 'beheading']","[{'text': 'hinduphobic', 'score': 0.47}, {'text': 'election', 'score': 0.3357}, {'text': 'beheading', 'score': 0.2398}]",farmers protests,Pro Ruling,farmers protests,Against ,"says whoever is supporting farmers protest and stopping kumbh mela due to covid is ""hinduphobic"". "
1334862,"In name of ""Farmers protests "" more hooliganism - see how they break barricades &amp; misuse tricolour as a ḍanḍa to scare cops 
 
 WILL FANCY DRESS KISAN NETAS LIKE YOYA AND HANNAN MOLLAH CONDEMN IT?
 
 ⁦@amitmalviya⁩ ⁦@AmitShah⁩ ⁦@myogiadityanath⁩ https://t.co/JxZefFnxVy",Pro Ruling,"['hooliganism', 'farmers', 'break']","[{'text': 'hooliganism', 'score': 0.6617}, {'text': 'farmers', 'score': 0.4004}, {'text': 'break', 'score': 0.1586}]",farmers protests,Pro Ruling,farmers protests,Against ,claims that farmers protest is just an excuse to propogate violence and more hooliganism. 
1404329,"Journalism is independent research and not mere reproduction of narratives. The global media has done a very shoddy job on the coverage of farmers’ protests in India.
 
 Most reports are superficial and cover just one side of the story.
 
 Normalising violence is supporting violence.",Pro Ruling,"['journalism', 'normalising', 'farmers']","[{'text': 'journalism', 'score': 0.6809}, {'text': 'normalising', 'score': 0.1947}, {'text': 'farmers', 'score': 0.1728}]",farmers protests,Pro Ruling,farmers protests,Against ,implies that global media is normalising the violence of farmers protest. 
472773,"Bhartiya Kisan Union is leading organiser of farmers protests demanding roll back of Farms Bills. In 2019, @BKU_KisanUnion demanded: abolition of APMCs, full freedom to trade, full freedom to sell, rent &amp; lease farmland, contract farming, repeal of 9th schedule, futures trading. https://t.co/HEZtH5yL83",Pro Ruling,"['farmers', 'bku_kisanunion', 'protests']","[{'text': 'farmers', 'score': 0.4816}, {'text': 'bku_kisanunion', 'score': 0.4317}, {'text': 'protests', 'score': 0.4221}]",farmers protests,Pro Ruling,farmers protests,neutral ,"no stance taken, only news delivered. "
11949,"Do you know why #Canada is involved in Indian #FarmersProtests ? BC if Indian farmer get direct access to the bigger market, better facilities, more money to Farmer . Canadian exports to INDIA will go to zero!
 #FarmerBill2020 
 #FarmersWithModi 
 #FarmerProtestHijacked https://t.co/xMTuumPrCc",Pro Ruling,"['canada', 'farmers', 'hijacked']","[{'text': 'canada', 'score': 0.5191}, {'text': 'farmers', 'score': 0.4781}, {'text': 'hijacked', 'score': -0.0782}]",farmers protests,Pro Ruling,farmers protests,Against ,claims that farmers protest is being hijacked by canada to support its own economic agenda. 
1555466,"Reality Check!
 
 #Farmers #FarmersProtests #RahulGandhi #CongressMuktBharat https://t.co/ZKEoTGqPbz",Pro Ruling,"['farmers', 'protests', 'check']","[{'text': 'farmers', 'score': 0.6224}, {'text': 'protests', 'score': 0.4148}, {'text': 'check', 'score': 0.1696}]",farmers protests,Pro Ruling,farmers protests,neutral ,no stance taken. not enough context given. 
513424,"@GauravPandhi Dummy I said Bilkis Dadi ji who got popularity in Shaheen Baag which lead to massive riots is also in Farmers protests,but it was not her so I deleted that picture but next day Bilkis Dadi was actually in the farmers protests. I don’t consider myself wrong, was just ahead time.",Pro Ruling,"['gauravpandhi', 'protests', 'deleted']","[{'text': 'gauravpandhi', 'score': 0.4171}, {'text': 'protests', 'score': 0.3643}, {'text': 'deleted', 'score': 0.1461}]",farmers protests,Pro Ruling,farmers protests,neutral ,no stance taken. 
1002749,"The ugly truth of ""Farmers"" protests https://t.co/EBa2zmowuT",Pro Ruling,"['farmers', 'protests', 'ugly']","[{'text': 'farmers', 'score': 0.6188}, {'text': 'protests', 'score': 0.5646}, {'text': 'ugly', 'score': 0.2415}]",farmers protests,Pro Ruling,farmers protests,Against ,"claims to reveal the ""ugly truth"" behind farmers protest. "
950656,"The ugly truth of ""Farmers"" protests https://t.co/EBa2zmowuT",Pro Ruling,"['farmers', 'protests', 'ugly']","[{'text': 'farmers', 'score': 0.6188}, {'text': 'protests', 'score': 0.5646}, {'text': 'ugly', 'score': 0.2415}]",farmers protests,Pro Ruling,farmers protests,Against ,"claims to reveal the ""ugly truth"" behind farmers protest. "
