source_row,tweet,tweet_label,subjects,subjects_scored,keyword,label_norm,keyword_cat,stance,stance reason
2323688,"Kashmiri Pandits protest against Rahul Bhat's killing in J-K's Budgam
 
 Read @ANI Story | https://t.co/L8Zk2dB53w
 
 #KashmiriPandits #Kashmir #RahulBhat https://t.co/XILzyaMKnv",Pro Ruling,"['kashmir', 'protest', 'killing']","[{'text': 'kashmir', 'score': 0.4876}, {'text': 'protest', 'score': 0.4061}, {'text': 'killing', 'score': 0.2618}]",kashmiri pandits,Pro Ruling,kashmiri pandits,Neutral,just states an event without any stance
2263210,". @narendramodi ji’s big statement on #KashmirFiles 
 
 Why is LeLi ecosystem sabotaging the movie?
 
 @vivekagnihotri has made it after 4 yrs of 5000 hours of intense research, 700 interviews with #KashmiriPandits 
 
 I openly challenge LeLis
 
 Mention any incident that’s FAKE https://t.co/HWMLAmHltA",Pro Ruling,"['kashmir', 'fake', '700']","[{'text': 'kashmir', 'score': 0.4662}, {'text': 'fake', 'score': 0.1757}, {'text': '700', 'score': 0.1216}]",kashmiri pandits,Pro Ruling,kashmiri pandits,Against,Against cues: ['fake']
155769,#KanganaRanaut calls out selective secularism of Bollywood and so-called liberals and urges @narendramodi @PMOIndia to take strict action against atrocities done on #KashmiriPandits and their safe return to their homeland. #AjayPandita #JusticeForAjayPandita https://t.co/gy6PxxkzEh,Pro Ruling,"['narendramodi', 'liberals', 'return']","[{'text': 'narendramodi', 'score': 0.5952}, {'text': 'liberals', 'score': 0.2785}, {'text': 'return', 'score': 0.0296}]",kashmiri pandits,Pro Ruling,kashmiri pandits,Favour ,fighting for kashmiri pandits return 
2234037,"TRUTH ECHOES: The reaction of the media at the press conference of #TheKashmirFiles was really gratifying. They were equally moved, shocked and teary eyed at the end of watching the 20mins documentary of the families of #KashmiriPandits. Pain connects people!💔 #Exodus #Kashmir https://t.co/28xNADjPYy",Pro Ruling,"['kashmir', 'media', 'pain']","[{'text': 'kashmir', 'score': 0.4913}, {'text': 'media', 'score': 0.4591}, {'text': 'pain', 'score': 0.2832}]",kashmiri pandits,Pro Ruling,kashmiri pandits,Favour,Favour cues: ['exodus']
8991,"30 years ago this day, Jan 19, 1990, mosques started blaring threats to #KashmiriPandits: convert to Islam or get out. Destruction of Pandit homes &amp; lives began. So did the #KashmiriHinduExodus, exiling the Valley’s intellectual but gentle core. Read! https://t.co/NZLzV91IeL",Pro Ruling,"['hindu', 'threats', 'exiling']","[{'text': 'hindu', 'score': 0.4756}, {'text': 'threats', 'score': 0.3235}, {'text': 'exiling', 'score': 0.2683}]",kashmiri pandits,Pro Ruling,kashmiri pandits,Favour,talks about the atrocities and hardships they faced
2926544,"#33Yearsofexile &amp; the situation of #KashmiriPandits remain the same in #Kashmir as it was in late 80’s &amp; 90’s . 
 #SanjaySharma is the latest victim of govts apathy. 
 The cries and screams of a KP continues to echo &amp; the govt says “Sab theek thak hai “ 
 
 @Ameak_Displaced https://t.co/2855wzaRbK",Pro Ruling,"['kashmir', 'ameak_displaced', 'screams']","[{'text': 'kashmir', 'score': 0.5782}, {'text': 'ameak_displaced', 'score': 0.4422}, {'text': 'screams', 'score': 0.3113}]",kashmiri pandits,Pro Ruling,kashmiri pandits,Favour,Favour cues: ['victim']
1352221,"Hindus r left alone to defend for themselves. 
 
 What happened in Kashmir 31 years ago where thousands of Hindus were murdered, raped &amp; lacs of them were driven away, is a stark reminder for Hindus to unite
  #KashmiriPandits 
 #KashmiriHindusExodus_31Yrs 
 https://t.co/gsE2xNaW3C",Pro Ruling,"['hindus', 'alone', 'murdered']","[{'text': 'hindus', 'score': 0.5604}, {'text': 'alone', 'score': 0.1711}, {'text': 'murdered', 'score': 0.1677}]",kashmiri pandits,Pro Ruling,kashmiri pandits,Neutral,No clear reference to Kashmiri Pandits and no stance cues
310,#KanganaRanaut calls out selective secularism of Bollywood and so-called liberals and urges @narendramodi @PMOIndia to take strict action against atrocities done on #KashmiriPandits and their safe return to their homeland. #AjayPandita #JusticeForAjayPandita https://t.co/gy6PxxkzEh,Pro Ruling,"['narendramodi', 'liberals', 'return']","[{'text': 'narendramodi', 'score': 0.5952}, {'text': 'liberals', 'score': 0.2785}, {'text': 'return', 'score': 0.0296}]",kashmiri pandits,Pro Ruling,kashmiri pandits,Favour,fighting for kashmiri pandits return 
2476881,"WB Guv. #KashmirFiles Film needs to be watched by all to inflame spirit of Nationalism, freedom of liberty &amp; human rights. Highly impactful depiction of the horrendous reality of exodus and genocide of Kashmiri pandits. @AnupamPKher @vivekagnihotri #KashmiriPandit #Kashmir https://t.co/S5rdT4leeq",Pro Ruling,"['kashmir', 'watched', 'inflame']","[{'text': 'kashmir', 'score': 0.5733}, {'text': 'watched', 'score': 0.362}, {'text': 'inflame', 'score': 0.1881}]",kashmiri pandits,Pro Ruling,kashmiri pandits,Favour,"Favour cues: ['exodus', 'genocide', 'rights']"
2553358,Kashmiri Pandits had organised a protest at Taj Palace Hotel in New Delhi when India Today invited terrorist Yasin Malik as guest speaker. UPA Govt remained silent. India Today didn’t reconsider invite. Cops forcibly removed KPs. Watch what Yasin Malik did in #TheKashmirFiles. https://t.co/CSKj92fEFW,Pro Ruling,"['kashmir', 'protest', 'hotel']","[{'text': 'kashmir', 'score': 0.5026}, {'text': 'protest', 'score': 0.3576}, {'text': 'hotel', 'score': 0.1089}]",kashmiri pandits,Pro Ruling,kashmiri pandits,Favour,talks about their struggle and how no one supported them 
247350,#KanganaRanaut calls out selective secularism of Bollywood and so-called liberals and urges @narendramodi @PMOIndia to take strict action against atrocities done on #KashmiriPandits and their safe return to their homeland. #AjayPandita #JusticeForAjayPandita https://t.co/gy6PxxkzEh,Pro Ruling,"['narendramodi', 'liberals', 'return']","[{'text': 'narendramodi', 'score': 0.5952}, {'text': 'liberals', 'score': 0.2785}, {'text': 'return', 'score': 0.0296}]",kashmiri pandits,Pro Ruling,kashmiri pandits,Favour ,fighting for kashmiri pandits return 
2238208,"Farooq Abdullah’s hand on terrorist Yasin Malik’s shoulder.
 
 Yasin Malik is a JKLF terrorist who killed Kashmiri Pandits, Indian Air Force men, Kashmiri Muslim women &amp; kidnapped Rubaiya Sayeed.
 
 What is Farooq Abdullah’s link with JKLF?
 
 Why did he abandon Kashmiri Hindus to die? https://t.co/Raee6PH8hO",Pro Ruling,"['muslim', 'force', 'kidnapped']","[{'text': 'muslim', 'score': 0.4408}, {'text': 'force', 'score': 0.1515}, {'text': 'kidnapped', 'score': 0.127}]",kashmiri pandits,Pro Ruling,kashmiri pandits,Favour,Questioning people that did harm to the kashmiri pandits
2513955,"Aadarniya #DilipWalsePatil ji (N.C.P) 
 I am concerned about you as you are surrounded by uneducated jokers who have misinformed you about @vivekagnihotri’s #KashmirFiles. 
 The film is not about partition in 1947 but it’s about genocide of #KashmiriPandits in #KMR. 
 Be careful. https://t.co/btlnYJ09PY",Pro Ruling,"['kashmir', 'misinformed', 'jokers']","[{'text': 'kashmir', 'score': 0.5004}, {'text': 'misinformed', 'score': 0.3035}, {'text': 'jokers', 'score': 0.2462}]",kashmiri pandits,Pro Ruling,kashmiri pandits,Favour,Favour cues: ['genocide']
2546462,"Slogans of Terror Raised again in Kashmir.
 
 Similar slogans were used against #KashmiriPandits in 1990.
  https://t.co/x4autEOs85",Pro Ruling,"['kashmir', 'slogans', 'again']","[{'text': 'kashmir', 'score': 0.4983}, {'text': 'slogans', 'score': 0.4678}, {'text': 'again', 'score': 0.2836}]",kashmiri pandits,Pro Ruling,kashmiri pandits,Neutral,Weak/indirect cues without explicit Kashmiri Pandit reference
2192166,Remembering Balasaheb Thackeray. One leader in India who selflessly came forward to help Kashmiri Pandits after brutal exodus in 1990. Hindus from Kashmir will never forget his focus on getting easy access to education for KPs. Jagmohan and Balasaheb remain forever heroes. https://t.co/gWWPIl2z8U,Pro Ruling,"['hindus', 'leader', 'kps']","[{'text': 'hindus', 'score': 0.6242}, {'text': 'leader', 'score': 0.3696}, {'text': 'kps', 'score': 0.2133}]",kashmiri pandits,Pro Ruling,kashmiri pandits,Favour,"Favour cues: ['exodus', 'help']"
2475814,WB Guv Shri Jagdeep Dhankhar &amp; Dr Sudesh Dhankhar will watch #KashmirFiles at Quest Mall-INSIGNIA today at 2 PM Film has created public awareness about reality behind 1990 exodus of Kashmiri pandits from the valley. @AnupamPKher @vivekagnihotri #KashmiriPandit #Kashmir https://t.co/isGTFA3WyJ,Pro Ruling,"['kashmir', 'watch', 'mall']","[{'text': 'kashmir', 'score': 0.6162}, {'text': 'watch', 'score': 0.3826}, {'text': 'mall', 'score': 0.1757}]",kashmiri pandits,Pro Ruling,kashmiri pandits,Favour,Favour cues: ['exodus']
1928592,"Did you witness the scene of 24 Kashmiri Pandits including two toddlers being killed by Islamist terrorists in #TheKashmirFiles? 
 
 Today is the 19th anniversary of the brutal terror attack. This is the original Associated Press footage of the Nadimarg massacre in South Kashmir. https://t.co/CgrQyLZWRJ",Pro Ruling,"['kashmir', 'killed', 'toddlers']","[{'text': 'kashmir', 'score': 0.5032}, {'text': 'killed', 'score': 0.3101}, {'text': 'toddlers', 'score': 0.1974}]",kashmiri pandits,Pro Ruling,kashmiri pandits,Favour,"Favour cues: ['attack', 'killed', 'massacre', 'terror', 'terrorists']"
2323606,WB Guv Shri Jagdeep Dhankhar &amp; Dr Sudesh Dhankhar will watch #KashmirFiles at Quest Mall-INSIGNIA today at 2 PM Film has created public awareness about reality behind 1990 exodus of Kashmiri pandits from the valley. @AnupamPKher @vivekagnihotri #KashmiriPandit #Kashmir https://t.co/isGTFA3WyJ,Pro Ruling,"['kashmir', 'watch', 'mall']","[{'text': 'kashmir', 'score': 0.6162}, {'text': 'watch', 'score': 0.3826}, {'text': 'mall', 'score': 0.1757}]",kashmiri pandits,Pro Ruling,kashmiri pandits,Favour,Favour cues: ['exodus']
1971472,"India’s silence on constant atrocities of #Hindus in #Bengal is similar to the silence in the year 1990 when #KashmiriPandits suffered the worst genocide . 
 The nation should stand up and not wait for a film called #Bengalfiles after 32 yrs to respond .
 #BirbhumMassacre",Pro Ruling,"['hindus', 'massacre', 'silence']","[{'text': 'hindus', 'score': 0.5478}, {'text': 'massacre', 'score': 0.4692}, {'text': 'silence', 'score': 0.3931}]",kashmiri pandits,Pro Ruling,kashmiri pandits,Favour,talks about kashmir pandits struggles
2448163,"It's possible to investigate into the killings of Kashmiri Pandits after more than three decades. It's difficult but not impossible. 
 
 No crime is too old to be investigated.
 #KashmirFiles",Pro Ruling,"['kashmir', 'investigated', 'killings']","[{'text': 'kashmir', 'score': 0.4741}, {'text': 'investigated', 'score': 0.4237}, {'text': 'killings', 'score': 0.3304}]",kashmiri pandits,Pro Ruling,kashmiri pandits,Favour ,fighting for kashmiri pandits 
2248598,"When one feels, they have hit rock-bottom and can only rise from here, they invent ways to hit newer lows. A pity they choose to hurt sentiments of Kashmiri Pandits again. 
 #KashmirFiles is an eye-opener and probably just a tip of the iceberg. https://t.co/GwR1JHqE5T",Pro Ruling,"['kashmir', 'hurt', 'lows']","[{'text': 'kashmir', 'score': 0.5654}, {'text': 'hurt', 'score': 0.2322}, {'text': 'lows', 'score': 0.2196}]",kashmiri pandits,Pro Ruling,kashmiri pandits,Neutral,Mentions Kashmiri Pandits but without polar language (factual/neutral tone)
164921,#KanganaRanaut calls out selective secularism of Bollywood and so-called liberals and urges @narendramodi @PMOIndia to take strict action against atrocities done on #KashmiriPandits and their safe return to their homeland. #AjayPandita #JusticeForAjayPandita https://t.co/gy6PxxkzEh,Pro Ruling,"['narendramodi', 'liberals', 'return']","[{'text': 'narendramodi', 'score': 0.5952}, {'text': 'liberals', 'score': 0.2785}, {'text': 'return', 'score': 0.0296}]",kashmiri pandits,Pro Ruling,kashmiri pandits,Favour,fighting for kashmiri pandits return 
2534565,"2008: India Today Conclave invited separatist Yasin Malik. India Today mentioned that he's a strong advocate for the right of return of Kashmiri Hindus.
 
 2015: Yasin Malik protested against the colonies for Kashmiri Pandits.
 
 2017: Yasin Malik assaulted India Today's Journalist.",Pro Ruling,"['hindus', 'separatist', 'journalist']","[{'text': 'hindus', 'score': 0.4598}, {'text': 'separatist', 'score': 0.4083}, {'text': 'journalist', 'score': 0.2708}]",kashmiri pandits,Pro Ruling,kashmiri pandits,Favour,Favour cues: ['return']
427732,#KanganaRanaut calls out selective secularism of Bollywood and so-called liberals and urges @narendramodi @PMOIndia to take strict action against atrocities done on #KashmiriPandits and their safe return to their homeland. #AjayPandita #JusticeForAjayPandita https://t.co/gy6PxxkzEh,Pro Ruling,"['narendramodi', 'liberals', 'return']","[{'text': 'narendramodi', 'score': 0.5952}, {'text': 'liberals', 'score': 0.2785}, {'text': 'return', 'score': 0.0296}]",kashmiri pandits,Pro Ruling,kashmiri pandits,Favour,fighting for kashmiri pandits return 
1638395,"#BREAKING: Two teachers killed in broad daylight in Srinagar, Kashmir - both from minority community of Sikh and Kashmiri Pandits. The teachers identified as Satinder Kour and Deepak Chand. IG Kashmir Vijay Kumar confirms the development. Security forces have reached the spot. https://t.co/HFZ32VpTMi",Pro Ruling,"['teachers', 'kashmir', 'killed']","[{'text': 'teachers', 'score': 0.4546}, {'text': 'kashmir', 'score': 0.3502}, {'text': 'killed', 'score': 0.2401}]",kashmiri pandits,Pro Ruling,kashmiri pandits,neutral,Stating an event
2012870,"#LIVE | For BJP &amp; ministers, Himachal elections are a priority. Their focus is on making sure Satyendar Jain rots in the jail. At least wake up now and think about the security of Kashmiri Pandits: AAP hits out at Smriti Irani's presser #SatyendarFiles 
 https://t.co/hBNv8QrX25 https://t.co/aQRss1rBZH",Pro Ruling,"['elections', 'himachal', 'yen']","[{'text': 'elections', 'score': 0.481}, {'text': 'himachal', 'score': 0.4101}, {'text': 'yen', 'score': 0.1468}]",kashmiri pandits,Pro Ruling,kashmiri pandits,Favour,fighting for kashmiri pandits 
347409,Know the &amp;#039;pain of Kashmiri Pandits&amp;#039; in words of Anupam Kher https://t.co/nMXhuxYB2B,Pro Ruling,"['kashmiri', 'pain', '039']","[{'text': 'kashmiri', 'score': 0.5461}, {'text': 'pain', 'score': 0.4483}, {'text': '039', 'score': 0.3178}]",kashmiri pandits,Pro Ruling,kashmiri pandits,Favour,fighting for kashmiri pandits - to know their pain which they faced 
2291436,"Some Members asked- if there was no Congress, what would happen...
 
 I would like to say, if there was no Congress there would be no Emergency, there would be no caste politics, Sikhs would never have been massacred, the problems of Kashmiri Pandits would not have happened: PM",Pro Ruling,"['congress', 'would', 'massacred']","[{'text': 'congress', 'score': 0.4467}, {'text': 'would', 'score': 0.2837}, {'text': 'massacred', 'score': 0.1757}]",kashmiri pandits,Pro Ruling,kashmiri pandits,Favour,stating nothing would have happened to kashmiri pandits if congress didnt exist
2883136,UK MP @BobBlackman speaks at an event marking the genocide of Kashmiri Pandits in UK Parliament campus; Lauds removal of article 370 by Indian Govt. https://t.co/oLgwaOf2QL https://t.co/8GZAb9kkeU,Pro Ruling,"['bobblackman', 'speaks', 'indian']","[{'text': 'bobblackman', 'score': 0.4394}, {'text': 'speaks', 'score': 0.4371}, {'text': 'indian', 'score': 0.262}]",kashmiri pandits,Pro Ruling,kashmiri pandits,Favour,Favour cues: ['genocide']
1935275,"Constitution was there.
 Secularism was there.
 Police was there.
 Army was there.
 J&amp;K High Court was there.
 Supreme Court was there.
 
 Yet, #KashmiriPandits had to flee.
 
 #KashmirExodus1990",Pro Ruling,"['kashmir', 'secularism', 'court']","[{'text': 'kashmir', 'score': 0.4719}, {'text': 'secularism', 'score': 0.3746}, {'text': 'court', 'score': 0.2089}]",kashmiri pandits,Pro Ruling,kashmiri pandits,Favour,fighting for kashmiri pandits
45945,#KanganaRanaut calls out selective secularism of Bollywood and so-called liberals and urges @narendramodi @PMOIndia to take strict action against atrocities done on #KashmiriPandits and their safe return to their homeland. #AjayPandita #JusticeForAjayPandita https://t.co/gy6PxxkzEh,Pro Ruling,"['narendramodi', 'liberals', 'return']","[{'text': 'narendramodi', 'score': 0.5952}, {'text': 'liberals', 'score': 0.2785}, {'text': 'return', 'score': 0.0296}]",kashmiri pandits,Pro Ruling,kashmiri pandits,Favour,fighting for kashmiri pandits return 
1932596,"Arvind Kejriwal calls ‘The Kashmir Files’ a “jhoothi” film, makes fun of Kashmiri Pandits Genocide, refuses to make it tax-free, had earlier made movies like ’83, Saand Ki Aankh tax-free. 
 
 #TheKashmiriFiles #ArvindKejriwal https://t.co/cpUQ9aSSaD",Pro Ruling,"['kashmir', 'movies', 'tax']","[{'text': 'kashmir', 'score': 0.5409}, {'text': 'movies', 'score': 0.295}, {'text': 'tax', 'score': 0.1396}]",kashmiri pandits,Pro Ruling,kashmiri pandits,Against,making fun of kashmiri pandits
2523924,"Kashmiri Pandits lost home and hearth back in 1990 in Kashmir.
 
 Even after 32 years Kashmiri Hindus continue to be killed in Kashmir.
 
 Now Kashmiri Pandits employees demanding justice are lathicharged and tear-gassed.
 
 Poor Kashmiri Pandit Govt employees forced to stay in valley.",Pro Ruling,"['kashmir', 'killed', 'employees']","[{'text': 'kashmir', 'score': 0.5477}, {'text': 'killed', 'score': 0.1254}, {'text': 'employees', 'score': 0.067}]",kashmiri pandits,Pro Ruling,kashmiri pandits,Favour,"Favour cues: ['forced', 'justice', 'killed']"
1475671,"Kashmiri pandits don't have human rights
 
 Bengali Hindus under Mamata don't have human rights
 
 But people who attack these Hindus have human rights
 
 Liberal logic!",Pro Ruling,"['hindus', 'liberal', 'under']","[{'text': 'hindus', 'score': 0.5842}, {'text': 'liberal', 'score': 0.317}, {'text': 'under', 'score': -0.0363}]",kashmiri pandits,Pro Ruling,kashmiri pandits,Favour,"Favour cues: ['attack', 'rights']"
2207129,"Some Members asked- if there was no Congress, what would happen...
 
 I would like to say, if there was no Congress there would be no Emergency, there would be no caste politics, Sikhs would never have been massacred, the problems of Kashmiri Pandits would not have happened: PM",Pro Ruling,"['congress', 'would', 'massacred']","[{'text': 'congress', 'score': 0.4467}, {'text': 'would', 'score': 0.2837}, {'text': 'massacred', 'score': 0.1757}]",kashmiri pandits,Pro Ruling,kashmiri pandits,Favour,stating nothing would have happened to kashmiri pandits if congress didnt exist
1009312,"#Bengal was an election of low margins
 
 TMC won 92 seats with margin less than 2,500
 
 BJP won 27
 
 If demographics is the reason then Minority voted as one &amp; Majority separated.
 
 Now all #Hindus in Bengal are in peril Kashmiri Pandits
 
 What will BJP do?
 
 It is truly #BengalBurning https://t.co/7qzI7DaGJm",Pro Ruling,"['hindus', 'election', 'seats']","[{'text': 'hindus', 'score': 0.4868}, {'text': 'election', 'score': 0.3999}, {'text': 'seats', 'score': 0.1799}]",kashmiri pandits,Pro Ruling,kashmiri pandits,Favour,Favour cues: ['minority']
2230515,"10000 movies showed Brahmins as evil crooks, Thakurs as rapist goons and Baniyas as lecherous charlatans but it did not spread hate.
 
 One movie showed Hindus as victims and it's spreading hate.
 
 #TheKashmirFiles #KashmiriPandits",Pro Ruling,"['hindus', 'crooks', 'hate']","[{'text': 'hindus', 'score': 0.4532}, {'text': 'crooks', 'score': 0.3974}, {'text': 'hate', 'score': 0.2689}]",kashmiri pandits,Pro Ruling,kashmiri pandits,Favour,Favour cues: ['victims']
2039504,"#TheKashmirFiles is an indictment of apologists of #jihadi violence against #KashmiriPandits. These apologists —like Holocaust deniers— are everywhere: senior TV journalists, mainstream filmmakers &amp; minority politicians. Like Holocaust deniers they should be exposed &amp; ostracised.",Pro Ruling,"['kashmir', 'journalists', 'indictment']","[{'text': 'kashmir', 'score': 0.6009}, {'text': 'journalists', 'score': 0.4391}, {'text': 'indictment', 'score': 0.2817}]",kashmiri pandits,Pro Ruling,kashmiri pandits,Favour,Favour cues: ['minority']
1970175,"Breaking : Srinagar Kashmir : Slogans of Terror Raised again 
 
 Slogans similar to those that were used against Kashmiri Pandits, again raised in Jamia Masjid in Srinagar today after Friday Prayers https://t.co/Vs6vTYSkPA",Pro Ruling,"['kashmir', 'slogans', 'prayers']","[{'text': 'kashmir', 'score': 0.4609}, {'text': 'slogans', 'score': 0.3898}, {'text': 'prayers', 'score': 0.2705}]",kashmiri pandits,Pro Ruling,kashmiri pandits,Favour,Favour cues: ['terror']
2119029,"PM @narendramodi wishes everyone especially Kashmiri Pandit sisters and brothers on Jyeshtha Ashtami
 
 https://t.co/snbK5rMh42",Pro Ruling,"['narendramodi', 'wishes', 'sisters']","[{'text': 'narendramodi', 'score': 0.5782}, {'text': 'wishes', 'score': 0.4603}, {'text': 'sisters', 'score': 0.3348}]",kashmiri pandits,Pro Ruling,kashmiri pandits,Neutral,Mentions Kashmiri Pandits but without polar language (factual/neutral tone)
