source_row,tweet,tweet_label,_label_norm,keyword,subjects,subjects_scored,STANCE ,Reasoning 
,"COVID-19 does not, but BJP does. Every single person that @narendramodi follows on Twitter, and who is associated with BJP directly or indirectly, do only one thing day in and day out, that is spew hate against minorities. Take action, don't just give the nation some more faff. https://t.co/BzaLEUyNy3",Pro OPP,,modi,"['narendramodi', 'minorities', 'don']","[{'text': 'narendramodi', 'score': 0.4323}, {'text': 'minorities', 'score': 0.3849}, {'text': 'don', 'score': 0.251}]",against ,in a way states that covid-19 is better than BJP. modi accused of spreading hate against minorities. 
,"COVID-19 does not see race, religion, colour, caste, creed, language or borders before striking. 

Our response and conduct thereafter should attach primacy to unity and brotherhood. 

We are in this together: PM @narendramodi",Pro Ruling,,modi,"['brotherhood', 'narendramodi', 'conduct']","[{'text': 'brotherhood', 'score': 0.4765}, {'text': 'narendramodi', 'score': 0.3347}, {'text': 'conduct', 'score': 0.2527}]",for ,shows modi asking people to stand united in a brotherhood against covid-19
,"This ⁦@narendramodi⁩ Govt appears to be hell bent on destroying the dignity and sobriety of the three services; and replacing it with some bastardised Bollywood culture

How embarrassing this “Navy nautanki” is! Are the service chiefs going to shut their eyes and acquiesce? https://t.co/e3CZFgpgkp",Pro OPP,,modi,"['narendramodi', 'navy', 'shut']","[{'text': 'narendramodi', 'score': 0.4792}, {'text': 'navy', 'score': 0.3743}, {'text': 'shut', 'score': 0.3113}]",against ,"shows modi trying to ""bastardise"" bollywood. destroying it of its sober and dignifiying qualities. "
,Bihar CM Shri @NitishKumar Ji called on PM @narendramodi. https://t.co/Bl3ULMJNHe,Pro Ruling,,modi,"['narendramodi', 'called', 'cm']","[{'text': 'narendramodi', 'score': 0.7006}, {'text': 'called', 'score': 0.3905}, {'text': 'cm', 'score': 0.1399}]",neutral ,no stance taken. only news delivered 
,"Shukriya Modi ji !!

https://t.co/EkcBEe78AC https://t.co/gsW2vbmDqL",Pro OPP,,modi,"['shukriya', 'ji', 'modi']","[{'text': 'shukriya', 'score': 0.7118}, {'text': 'ji', 'score': 0.4571}, {'text': 'modi', 'score': 0.4357}]",for ,thanking modi
,"Appreciating #VivekAgnihotri's (@vivekagnihotri) film '#TheKashmirFiles', Prime Minister #NarendraModi (@narendramodi) on Tuesday said more films like this need to be made so that people can know the truth. https://t.co/7bVDXp7jBf",Pro OPP,,modi,"['films', 'narendramodi', 'appreciating']","[{'text': 'films', 'score': 0.5221}, {'text': 'narendramodi', 'score': 0.394}, {'text': 'appreciating', 'score': 0.1393}]",for ,shows modi promoting films like kashmir files that speak the truth. 
,"Harnessing the power of tech for shared progress!

PM @narendramodi and @POTUS @JoeBiden interacted with Indian and American CEOs of leading tech companies.

They discussed promoting innovation and exploring opportunities for collaboration between the vibrant tech sectors of… https://t.co/GFa7P8SEoc https://t.co/o1DRU3lNnz",Pro Ruling,,modi,"['collaboration', 'narendramodi', 'sectors']","[{'text': 'collaboration', 'score': 0.4573}, {'text': 'narendramodi', 'score': 0.3515}, {'text': 'sectors', 'score': 0.2832}]",for ,shows modi promoting power of tech for shared progress with the USA. greater colloboration and cooperation with a superpower. 
,"Wah Modi Ji Wah ! 

You thought you replace Nehru’s legacy by just renaming a road ?? 

You are living in fools paradise ! 

#ModiHaiToMumkinHai https://t.co/cE7JiFeSAu",Pro OPP,,modi,"['fools', 'road', 'modihaitomumkinhai']","[{'text': 'fools', 'score': 0.3631}, {'text': 'road', 'score': 0.3627}, {'text': 'modihaitomumkinhai', 'score': 0.0553}]",against ,calls modi a fool. says he can never recreate Nehru's legacy. 
,"A lighthouse surrounded by land...

PM @narendramodi mentions a unique lighthouse in Surendranagar in Gujarat. #MannKiBaat https://t.co/oTVobQT6Xs",Pro Ruling,,modi,"['lighthouse', 'narendramodi', 'mentions']","[{'text': 'lighthouse', 'score': 0.7372}, {'text': 'narendramodi', 'score': 0.4753}, {'text': 'mentions', 'score': 0.1721}]",neutral ,no stance on modi taken. lighthouse is the topic. 
,"What topics do you think PM Shri @narendramodi should speak about in his ""Mann Ki Baat"" on 27th December.

Share them with PM now!

#MannKiBaat https://t.co/4vE4UL7G1l",Pro Ruling,,modi,"['narendramodi', 'topics', 'should']","[{'text': 'narendramodi', 'score': 0.4445}, {'text': 'topics', 'score': 0.4413}, {'text': 'should', 'score': 0.2595}]",neutral ,no stance taken. 
,"Congratulating the first batch students, CM Shri @vijayrupanibjp said that AIIMS-Rajkot, foundation stone of which will be laid by PM Shri @narendramodi soon, will breathe a new life into the healthcare sector and further reduce the gap in affordable health services in the State. https://t.co/5JVwwGOOzS",Pro Ruling,,modi,"['life', 'narendramodi', 'batch']","[{'text': 'life', 'score': 0.4257}, {'text': 'narendramodi', 'score': 0.2576}, {'text': 'batch', 'score': 0.2104}]",for ,"modi to lay foundation stone in a university. will ""breathe a new life"" into the healthcare sector. "
,"PM @narendramodi unveils a bust of Mahatma Gandhi in Hiroshima, Japan. https://t.co/RmZobqj9d2",Pro Ruling,,modi,"['narendramodi', 'bust', 'unveils']","[{'text': 'narendramodi', 'score': 0.4044}, {'text': 'bust', 'score': 0.3029}, {'text': 'unveils', 'score': 0.2455}]",neutral ,no stance taken. only news delivered 
,This face should haunt you @narendramodi &amp; @AmitShah attacking students is shameful. How much do you hate education? https://t.co/kKuCx4hc6Z,Pro OPP,,modi,"['shameful', 'education', 'narendramodi']","[{'text': 'shameful', 'score': 0.4731}, {'text': 'education', 'score': 0.4364}, {'text': 'narendramodi', 'score': 0.3271}]",against ,modi attacks students and is said to hate education. 
,"Story of Bhageerathi Amma shared by PM @narendramodi in the February 2020 edition of #MannKiBaat programme!

#NariShaktiforNewIndia 

(23/n) https://t.co/a1uLaPgWzK",Pro Ruling,,modi,"['narendramodi', '2020', 'shared']","[{'text': 'narendramodi', 'score': 0.7649}, {'text': '2020', 'score': 0.3142}, {'text': 'shared', 'score': 0.2604}]",for ,shows modi talking about women empowerment. 
,"Hon'ble PM Shri @narendramodi interacted with #Tokyo2020 #TeamIndia athletes &amp; congratulated them for their outstanding performance at the Olympics. 🇮🇳 

@PMOIndia @Media_SAI @YASMinistry @ianuragthakur @NisithPramanik https://t.co/5Kj5fzeIls",Pro Ruling,,modi,"['narendramodi', 'olympics', 'interacted']","[{'text': 'narendramodi', 'score': 0.5}, {'text': 'olympics', 'score': 0.4499}, {'text': 'interacted', 'score': 0.269}]",for ,"""honorable PM shri"". lot of respect in title. also shows modi as warm and humble."
,"After programmes in Hyderabad, PM @narendramodi landed in Chennai, where he was welcomed by Governor Shri RN Ravi, CM Shri @mkstalin, Ministers, MPs and other dignitaries. https://t.co/PlQgErBxPA",Pro Ruling,,modi,"['narendramodi', 'dignitaries', 'landed']","[{'text': 'narendramodi', 'score': 0.672}, {'text': 'dignitaries', 'score': 0.3123}, {'text': 'landed', 'score': 0.2224}]",neutral ,no stance taken. only news delivered 
,"5 Rafael came, All media were hailing and marketing @narendramodi , because advertisement budget is higher and defnece budget is lesser.

India's Airforce is at 4th position in world, because defence budget was higher and advertisement budget was low.

#BiharRejectNDA",Pro OPP,,modi,"['narendramodi', 'airforce', 'marketing']","[{'text': 'narendramodi', 'score': 0.4802}, {'text': 'airforce', 'score': 0.3724}, {'text': 'marketing', 'score': 0.2483}]",against ,shows how media is always just marketing and praising modi and ignoring other imp news. 
,"Dear @narendramodi Ji,
Please don’t celebrate me if you are not going to listen my voice. 

Thank you for selecting me amongst the inspiring women of the country under your initiative #SheInspiresUs. After thinking many times, I decided to turns down this honour. 🙏🏻

Jai Hind! https://t.co/pjgi0TUdWa",Pro OPP,,modi,"['narendramodi', 'celebrate', 'voice']","[{'text': 'narendramodi', 'score': 0.5562}, {'text': 'celebrate', 'score': 0.3453}, {'text': 'voice', 'score': 0.2979}]",against ,shows modi as hypocritical. award presented by him rejected. 
,"Prime Minister @narendramodi may just have signalled a big allocation for defence equipment manufacturing, 3 days before the budget. #AatmanirbharBharat https://t.co/K51a6zIp9N",Pro Ruling,,modi,"['equipment', 'narendramodi', 'budget']","[{'text': 'equipment', 'score': 0.4418}, {'text': 'narendramodi', 'score': 0.4025}, {'text': 'budget', 'score': 0.3067}]",neutral ,no stance taken. only news delivered 
,"Prime Minister @narendramodi  shares glimpses of his day in Northeast

Read here: https://t.co/DINMq8tNST https://t.co/q6DRKIrmof",Pro Ruling,,modi,"['narendramodi', 'glimpses', 'northeast']","[{'text': 'narendramodi', 'score': 0.6058}, {'text': 'glimpses', 'score': 0.4748}, {'text': 'northeast', 'score': 0.4681}]",for ,Northeast is a particularly fragile zone and modi seems to be doing good propoganda. 
,"The fourth pillar is- Mission mode implementation.

A well-thought of idea on paper makes it a good idea.

And, a good idea well implemented makes it a great one: PM @narendramodi",Pro Ruling,,modi,"['mission', 'fourth', 'narendramodi']","[{'text': 'mission', 'score': 0.5722}, {'text': 'fourth', 'score': 0.3462}, {'text': 'narendramodi', 'score': 0.2922}]",for ,shows modi as promoting well thought ideas. 
,"CM Shri @Bhupendrapbjp attended #8thGCM of @NITIAayog, chaired by Hon’ble PM Shri @narendramodi in the presence of #TeamIndia at New Delhi today. Hon’ble CM presented Gujarat’s development vision and achievements as well as expressed commitment to collaborate with the Centre with… https://t.co/35dCo7KDGe https://t.co/vhOz7ghLRv",Pro Ruling,,modi,"['narendramodi', 'attended', '8thgcm']","[{'text': 'narendramodi', 'score': 0.6329}, {'text': 'attended', 'score': 0.4688}, {'text': '8thgcm', 'score': 0.3085}]",for ,"""honorable PM shri"". lot of respect in title. demonstrates how modi expresses commitment to having a greater developmental vision for Gujarat. "
,"Yo Narendra - go on. Do what you can. 

cc: @narendramodi @DelhiPolice https://t.co/HYenfax0FK",Pro OPP,,modi,"['narendramodi', 'go', 'delhipolice']","[{'text': 'narendramodi', 'score': 0.6475}, {'text': 'go', 'score': 0.3191}, {'text': 'delhipolice', 'score': 0.3108}]",against ,almost as if mocking or baiting modi. 
,"Shri P.S. Sreedharan Pillai, the Governor of Goa met PM @narendramodi. https://t.co/XlCrl7GStm",Pro Ruling,,modi,"['narendramodi', 'governor', 'pm']","[{'text': 'narendramodi', 'score': 0.5894}, {'text': 'governor', 'score': 0.3034}, {'text': 'pm', 'score': 0.1329}]",neutral ,no stance taken. only news delivered 
,"Despite GOI push, #MannKiAtBaat100 of @narendramodi had total views/listeners across top 10 TV channels on April 30 of under 2 lakhs. Whereas Satyapal Malik, in his 2nd big interview to @thewire_in, got 17 lakh views the same day! His first interview is 53 lakh views! #justsaying https://t.co/VqP9jdG5AS",Pro OPP,,modi,"['narendramodi', 'channels', 'lakhs']","[{'text': 'narendramodi', 'score': 0.5029}, {'text': 'channels', 'score': 0.3432}, {'text': 'lakhs', 'score': 0.2763}]",for ,shows how GOI tries to promote modi's mann ki baat and stil fails in front of independent speakers. 
,"Dekho, pakad liya. Yeh DeMo ka result hai. #ModiHaiToMumkinHai https://t.co/cM3JgKRrky",Pro OPP,,modi,"['liya', 'modihaitomumkinhai', 'demo']","[{'text': 'liya', 'score': 0.6928}, {'text': 'modihaitomumkinhai', 'score': 0.5181}, {'text': 'demo', 'score': 0.3388}]",for ,hashtag shows support for modi. seems to imply that demonitization is seemingly helping catch someone (probably corruption). 
,".@narendramodi - Saheb ! Rajneeti nahi…. Kashmiri Pandito ko waapis Kashmir le ke jaao 

 https://t.co/qlJvsHTQ63",Pro OPP,,modi,"['kashmir', 'narendramodi', 'ke']","[{'text': 'kashmir', 'score': 0.7019}, {'text': 'narendramodi', 'score': 0.6764}, {'text': 'ke', 'score': 0.2982}]",against ,"subtle tone of mockery in ""saheb"", calls on modi to help kashmiri pandits "
,"Our Vice President is a Kisan Putra and he studied at a Sainik school. 

Thus, he is closely associated with Jawans and Kisans: PM @narendramodi speaking in the Rajya Sabha",Pro Ruling,,modi,"['narendramodi', 'president', 'school']","[{'text': 'narendramodi', 'score': 0.523}, {'text': 'president', 'score': 0.4016}, {'text': 'school', 'score': 0.2471}]",neutral ,no stance on modi taken. lighthouse is the topic. 
,Works inaugurated in #Kerala cover a wide range of sectors. They will energise the growth trajectory of building an #AatmaNirbharBharat: PM @narendramodi. #PMModiInKerala @PIB_India @MIB_India @PMOIndia https://t.co/Fx2i1SiH2w,Pro Ruling,,modi,"['narendramodi', 'sectors', 'cover']","[{'text': 'narendramodi', 'score': 0.5124}, {'text': 'sectors', 'score': 0.4559}, {'text': 'cover', 'score': 0.1451}]",for ,shows modi's commitment to aatmanirbharbharat and work towards growth. 
,"A major blow for press freedom, a major setback to @narendramodi’s plan for full spectrum dominance over the media.

His writ runs over a major section of print and TV news but digital platforms are not going to abandon their duty so easily.

https://t.co/UbT275Qb3m",Pro OPP,,modi,"['media', 'narendramodi', 'setback']","[{'text': 'media', 'score': 0.6219}, {'text': 'narendramodi', 'score': 0.3895}, {'text': 'setback', 'score': 0.2152}]",against ,modi controls the media and its freedom. 
,Wah Modi Ji Wah ✌️✌️ https://t.co/HrqRlRqpkX https://t.co/TUwMxnPL0e,Pro OPP,,modi,"['wah', 'modi', 'ji']","[{'text': 'wah', 'score': 0.6506}, {'text': 'modi', 'score': 0.5155}, {'text': 'ji', 'score': 0.5132}]",against ,tone of sarcasm. 
,Modi job choddo yaa  #modi_job_do,Pro OPP,,modi,"['job', 'yaa', 'modi']","[{'text': 'job', 'score': 0.5924}, {'text': 'yaa', 'score': 0.5514}, {'text': 'modi', 'score': 0.516}]",against ,Asking modi to either give a job or stop making it difficult to get one. 
,"Prime Minister Shri @narendramodi will address the nation at 5 PM today, 7th June.",Pro Ruling,,modi,"['narendramodi', 'minister', 'address']","[{'text': 'narendramodi', 'score': 0.457}, {'text': 'minister', 'score': 0.3993}, {'text': 'address', 'score': 0.1921}]",neutral ,no stance taken. only news delivered 
,Saare paap isi duniya mei dhoke jana padega @narendramodi https://t.co/AKtJQMrXUT,Pro OPP,,modi,"['duniya', 'dhoke', 'narendramodi']","[{'text': 'duniya', 'score': 0.5839}, {'text': 'dhoke', 'score': 0.5525}, {'text': 'narendramodi', 'score': 0.4502}]",against ,warning modi that he will end up paying for his sins. 
,"Towards a stronger 🇮🇳-🇺🇸 partnership!

Glimpses from the ceremonial welcome for PM @narendramodi at the @WhiteHouse. https://t.co/xBXn6gNdGo",Pro Ruling,,modi,"['narendramodi', 'welcome', 'whitehouse']","[{'text': 'narendramodi', 'score': 0.5679}, {'text': 'welcome', 'score': 0.5184}, {'text': 'whitehouse', 'score': 0.47}]",for ,shows modi strengthing US-India partnership. 
,"Some free advice for @narendramodi Ji ! 

Still it’s not late, better late than never! https://t.co/WEeOWanIzb",Pro OPP,,modi,"['narendramodi', 'late', 'advice']","[{'text': 'narendramodi', 'score': 0.5828}, {'text': 'late', 'score': 0.5215}, {'text': 'advice', 'score': 0.4226}]",against ,giving advice to take back whatever modi has done and not make a mistake. 
,"People as well as political parties across Maharashtra have started reacting on @narendramodi's remarks. They are tweeting with this hashtag. 

#महाराष्ट्रद्रोही_bjp",Pro OPP,,modi,"['narendramodi', 'tweeting', 'reacting']","[{'text': 'narendramodi', 'score': 0.5633}, {'text': 'tweeting', 'score': 0.5596}, {'text': 'reacting', 'score': 0.4045}]",against ,calling modi a traitor of Maharashtra and how people are calling him the same thing. 
,"After @Amul_Coop announced its plans to sell milk and curd in the #Bengaluru market, #Congress leader @siddaramaiah tweeted asking PM @narendramodi, who was visiting #Karnataka, whether the purpose of his visit was ""to loot the state"". #AmulvsNandini 
https://t.co/Qh94hlutm4",Pro OPP,,modi,"['narendramodi', 'milk', 'tweeted']","[{'text': 'narendramodi', 'score': 0.4929}, {'text': 'milk', 'score': 0.3363}, {'text': 'tweeted', 'score': 0.2368}]",neutral ,no stance taken. only news delivered 
,@AkramShahBJP @JPNadda @narendramodi @blsanthosh Thanks so much Akram Bhai🇮🇳🙏,Pro Ruling,,modi,"['akramshahbjp', 'narendramodi', 'thanks']","[{'text': 'akramshahbjp', 'score': 0.7632}, {'text': 'narendramodi', 'score': 0.6229}, {'text': 'thanks', 'score': 0.4536}]",for ,thanking bjp. 
,PM @narendramodi to inaugurate India’s first Semicon conference in Bengaluru today. Watch live at 11AM: https://t.co/mXfmYCzUGF https://t.co/8bWQzTLDoS,Pro Ruling,,modi,"['conference', 'narendramodi', 'semicon']","[{'text': 'conference', 'score': 0.4502}, {'text': 'narendramodi', 'score': 0.4084}, {'text': 'semicon', 'score': 0.3845}]",neutral ,no stance taken. only news delivered 
,"Smt Champa Singh from Anuppur district of Madhya Pradesh shared her experiences as 'Krishi Sakhi' with PM @narendramodi and narrated how she has benefitted from @DAY_NRLM

#AatmanirbharNariShakti 

@MinistryWCD @MoRD_GOI @mopr_goi https://t.co/Ug0BVWSAM6",Pro Ruling,,modi,"['narendramodi', 'experiences', 'mopr_goi']","[{'text': 'narendramodi', 'score': 0.6017}, {'text': 'experiences', 'score': 0.4158}, {'text': 'mopr_goi', 'score': 0.3567}]",for ,How modi is helping women empowerment.
,@ItsMePragnesh @Anil82302640 @narendramodi @AmitShah A government which is a failure on all fronts and people still ask what is the alternative. Put a rock in his place. At least the rock won't spread hatred. Rest the countrymen will take the country forward,Pro OPP,,modi,"['government', 'rock', 'narendramodi']","[{'text': 'government', 'score': 0.4545}, {'text': 'rock', 'score': 0.4069}, {'text': 'narendramodi', 'score': 0.3973}]",against ,literally asking to put a rock instead of the existing Govt. accuses govt of spreading hate. 
,Does chartered accountant @PiyushGoyal think people are taking oxygen for fun? Or doctors are giving oxygen to patients when it’s not needed? Be it farmers protest or Covid management a debit-credit guy like him ruins things further for @narendramodi through his arrogant comments,Pro OPP,,modi,"['oxygen', 'accountant', 'narendramodi']","[{'text': 'oxygen', 'score': 0.4191}, {'text': 'accountant', 'score': 0.3262}, {'text': 'narendramodi', 'score': 0.2527}]",for ,an accountant is targetted for making arrogant comments at Modi. 
,The fact that @narendramodi  can tout “AYUSH-related remedies” when there aren’t any is one more example of his breathtaking ineptitude and ideologically-driven callousness towards the people of India. https://t.co/oVf8mUxApZ,Pro OPP,,modi,"['narendramodi', 'remedies', 'example']","[{'text': 'narendramodi', 'score': 0.686}, {'text': 'remedies', 'score': 0.4564}, {'text': 'example', 'score': 0.2347}]",against ,"""breathtaking ineptitude"" and ""ideologically driven callousness"". "
,"Until we don’t nurture &amp; understand the true capabilities and aspirations of our children, they will never be able to realise their full potential: PM @narendramodi #ParikshaPeCharcha",Pro Ruling,,modi,"['nurture', 'potential', 'narendramodi']","[{'text': 'nurture', 'score': 0.5173}, {'text': 'potential', 'score': 0.4075}, {'text': 'narendramodi', 'score': 0.3602}]",for ,Shows Modi as nurturing. 
,"PM is leaving for Ahmedabad to join last rites of his mother,
Flagging off of Vande Bharat train, other developmental works of railways and under Namami Gange and meeting of National Ganga Council to be held as per plan at kolkata, 
PM @narendramodi may join through VC.",Pro Ruling,,modi,"['narendramodi', 'leaving', 'council']","[{'text': 'narendramodi', 'score': 0.4427}, {'text': 'leaving', 'score': 0.4188}, {'text': 'council', 'score': 0.162}]",for ,shows development happening under modii. 
,"PDT Achary on why the @narendramodi government’s decision to ‘renominate’ @swapan55‘s to the Rajya Sabha after his resignation is  ‘Constitutionally Wrong’

https://t.co/4QhJJhPAXd 

via @thewire_in https://t.co/ToujKyf7zn",Pro OPP,,modi,"['narendramodi', 'wrong', 'thewire_in']","[{'text': 'narendramodi', 'score': 0.5667}, {'text': 'wrong', 'score': 0.3303}, {'text': 'thewire_in', 'score': 0.1415}]",neutral ,no stance taken. only news delivered 
,Mr. @narendramodi you're not selling only government sector. you're selling jobs of millions of youth and their dreams also. whose future are also depends on that jobs. #PrivatizationNoSolution,Pro OPP,,modi,"['privatization', 'narendramodi', 'jobs']","[{'text': 'privatization', 'score': 0.527}, {'text': 'narendramodi', 'score': 0.3399}, {'text': 'jobs', 'score': 0.3079}]",against ,accusing modi of selling off everything to private sector. 
,"And, no holds barred @RahulGandhi calls the corona pandemic “Movid” after @narendramodi",Pro OPP,,modi,"['narendramodi', 'pandemic', 'barred']","[{'text': 'narendramodi', 'score': 0.5781}, {'text': 'pandemic', 'score': 0.4758}, {'text': 'barred', 'score': 0.2767}]",against ,modi caled a virus. 
,"While in Assam, PM @narendramodi reviewed the situation in Uttarakhand. He spoke to CM @tsrawatbjp and other top officials. He took stock of the rescue and relief work underway. Authorities are working to provide all possible support to the affected.",Pro Ruling,,modi,"['narendramodi', 'rescue', 'reviewed']","[{'text': 'narendramodi', 'score': 0.6305}, {'text': 'rescue', 'score': 0.437}, {'text': 'reviewed', 'score': 0.3092}]",for ,shows modi as proactive and involved in stressful conditions. 
,"I am happy to be here in Coimbatore.

This is a city of industry and innovation.

Today we begin many development works that will benefit Coimbatore and the entire Tamil Nadu: PM @narendramodi",Pro Ruling,,modi,"['narendramodi', 'innovation', 'happy']","[{'text': 'narendramodi', 'score': 0.475}, {'text': 'innovation', 'score': 0.3642}, {'text': 'happy', 'score': 0.3594}]",for ,shows development happening under modii. 
,"Dear @narendramodi:

Amidst all the happenings of the last few days, pls do know that I’ve not forgotten about the PM CARES scam nor have I stopped working on it. 

Sab hisaab rakha jaaega. 

Cheers.",Pro OPP,,modi,"['scam', 'narendramodi', 'forgotten']","[{'text': 'scam', 'score': 0.5303}, {'text': 'narendramodi', 'score': 0.4304}, {'text': 'forgotten', 'score': 0.2584}]",against ,"shows that ""pm caring"" is a scam and that one day all debts would be taken into account. "
,PM @narendramodi reviewed the status of Human Resources in all departments and ministries and instructed that recruitment of 10 lakh people be done by the Government in mission mode in next 1.5 years.,Pro Ruling,,modi,"['recruitment', 'government', 'narendramodi']","[{'text': 'recruitment', 'score': 0.3608}, {'text': 'government', 'score': 0.3461}, {'text': 'narendramodi', 'score': 0.2727}]",for ,shows modi helping employment. 
,"Whether @_pallavighosh or @ShekharGupta their honour quotient is so darn low, that even their recent attempts to call out callous incompetence of @narendramodi fails to be on target. They continue to play tippy toes at calling out the diabolical #ModiMadeDisaster on #COVID19India",Pro OPP,,modi,"['narendramodi', 'incompetence', 'toes']","[{'text': 'narendramodi', 'score': 0.6109}, {'text': 'incompetence', 'score': 0.3524}, {'text': 'toes', 'score': 0.2039}]",against ,calls modi diabolical and how news anchors cannot call out his incompetence. 
,"Adarniya @narendramodi ji, 
Happy New Year!!! 
Ummeed hai ke yeh naya saal aapko buddhi de...",Pro OPP,,modi,"['narendramodi', 'year', 'happy']","[{'text': 'narendramodi', 'score': 0.5769}, {'text': 'year', 'score': 0.5145}, {'text': 'happy', 'score': 0.4452}]",against ,"sarcastic undertone, hoping that modi gets brains. "
,"Students want to know from PM @narendramodi if they should be more scared of examinations or pressure from parents and teachers. 
#ParikshaPeCharcha https://t.co/deoTadolyc",Pro Ruling,,modi,"['examinations', 'narendramodi', 'scared']","[{'text': 'examinations', 'score': 0.4974}, {'text': 'narendramodi', 'score': 0.4016}, {'text': 'scared', 'score': 0.399}]",for ,shows how students have faith in modi and turn to him for advice. 
,A sea of women welcome PM @narendramodi ji today at Prayagraj https://t.co/MpsV3exZqg,Pro Ruling,,modi,"['women', 'welcome', 'narendramodi']","[{'text': 'women', 'score': 0.5433}, {'text': 'welcome', 'score': 0.5063}, {'text': 'narendramodi', 'score': 0.4564}]",for ,shows how women support modi. 
