source_row,tweet,tweet_label,subjects,subjects_scored,keyword,label_norm,keyword_cat,stance,stance_reason,Unnamed: 10
1335209,Has anyone seen any tweet by @RahulGandhi on the Dalit Life lost today at Singhu?,Pro Ruling,"['rahulgandhi', 'tweet', 'lost']","[{'text': 'rahulgandhi', 'score': 0.579}, {'text': 'tweet', 'score': 0.481}, {'text': 'lost', 'score': 0.2998}]",rahulgandhi,Pro Ruling,rahulgandhi,Against ,hinting at rahul gandhi not tweeting about the loss of a dalit life. ,
1479807,"Rajiv Gandhi was killed in a terror attack. Do all who die in a terror attack become martyrs. In that case, all those people who died with him in the suicide bomb blast must also be declared a martyr, and their families must be given the benefits of a martyr. @RahulGandhi",Pro Ruling,"['martyr', 'rahulgandhi', 'benefits']","[{'text': 'martyr', 'score': 0.5668}, {'text': 'rahulgandhi', 'score': 0.3513}, {'text': 'benefits', 'score': 0.0811}]",rahulgandhi,Pro Ruling,rahulgandhi,neutral ,no stance on rahul gandhi.,
289333,Democracy according to @RahulGandhi is a Demo of Being Crazy. And he does a wonderful job of it.,Pro Ruling,"['democracy', 'rahulgandhi', 'crazy']","[{'text': 'democracy', 'score': 0.5445}, {'text': 'rahulgandhi', 'score': 0.4539}, {'text': 'crazy', 'score': 0.3271}]",rahulgandhi,Pro Ruling,rahulgandhi,Against ,Says that according to rahul gandhi a democracy is a place to acr crazy and he does great at it. ,
1000178,Tractor ride by ⁦@RahulGandhi⁩ https://t.co/Z2WKrahul gandhiMZ9Z,Pro Ruling,"['tractor', 'ride', 'rahulgandhi']","[{'text': 'tractor', 'score': 0.7061}, {'text': 'ride', 'score': 0.5063}, {'text': 'rahulgandhi', 'score': 0.4468}]",rahulgandhi,Pro Ruling,rahulgandhi,neutral ,no stance on rahul gandhi.,
1799431,State Of Law And Order In @RahulGandhi &amp; @priyankagandhi Ruled Rajasthan. https://t.co/tOJDEKe4jc,Pro Ruling,"['rahulgandhi', 'law', 'order']","[{'text': 'rahulgandhi', 'score': 0.6067}, {'text': 'law', 'score': 0.4123}, {'text': 'order', 'score': 0.2488}]",rahulgandhi,Pro Ruling,rahulgandhi,neutral ,"No stance taken, only news delivered. ",
901869,"Welcome back @sumit_javelin @DevJhajharia @YogeshKathuniya @sharad_kumar01 !!

#Cheer4India 
#Praise4Para 

@PMOIndia @ianuragthakur @NisithPramanik @YASMinistry @IndiaSports @ParalympicIndia @DeepaAthlete @ddsportschannel @AkashvaniAIR @mygovindia @MIB_India",Pro Ruling,"['rahulgandhi', 'back', 'welcome']","[{'text': 'rahulgandhi', 'score': 0.6398}, {'text': 'back', 'score': 0.5133}, {'text': 'welcome', 'score': 0.4668}]",rahulgandhi,Pro Ruling,rahulgandhi,neutral ,no stance on rahul gandhi.,
163364,"Perhaps @RahulGandhi took social distancing too seriously and got confused that it is not applicable in government formation, especially if you have members of your party as ministers in that government!

I think the new model of @INCIndia is power but without accountability.",Pro Ruling,"['government', 'rahulgandhi', 'seriously']","[{'text': 'government', 'score': 0.4496}, {'text': 'rahulgandhi', 'score': 0.3805}, {'text': 'seriously', 'score': 0.1134}]",rahulgandhi,Pro Ruling,rahulgandhi,Against ,says rahul gandhi's idea of govt formation is social distancing. Calls out INC for wanting a model with power and no accountability. ,
1196675,"Mr @RahulGandhi, nation was disturbed when:

Nehru gifted 38,000 sq km land to China. 

Nehru sacrificed the permanent membership of the UNSC.

Indira Gandhi imposed Emergency.

Congress incited anti-sikh riots in 1984. 

Scams were exploding all around Manmohan Singh. https://t.co/JcMC20D0yy",Pro Ruling,"['rahulgandhi', 'congress', 'scams']","[{'text': 'rahulgandhi', 'score': 0.557}, {'text': 'congress', 'score': 0.3747}, {'text': 'scams', 'score': 0.167}]",rahulgandhi,Pro Ruling,rahulgandhi,Against ,"describes how generations of Congress leaders have ""disturbed"" the nation. ",
1389928,Dekh Italian Pomeranian Dekh  @RahulGandhi https://t.co/37TANLeKVR,Pro Ruling,"['rahulgandhi', 'italian', 'pomeranian']","[{'text': 'rahulgandhi', 'score': 0.6237}, {'text': 'italian', 'score': 0.6229}, {'text': 'pomeranian', 'score': 0.3479}]",rahulgandhi,Pro Ruling,rahulgandhi,Against ,"mockingly calls rahul gandhi and ""italian pomeranian"". ",
1260822,"Biggest Mistake Which BJP &amp; We Supporter Did Including Me In Last 17 Months Is That We Didn't Hold @RahulGandhi Accountable As Much As We Should For The Maharashtra Mess !!!

Uddhav Thackeray @OfficeofUT To Be Honest Is Surviving As CM Because Of Congress More Then NCP !!!",Pro Ruling,"['rahulgandhi', 'congress', 'didn']","[{'text': 'rahulgandhi', 'score': 0.5085}, {'text': 'congress', 'score': 0.3093}, {'text': 'didn', 'score': 0.2266}]",rahulgandhi,Pro Ruling,rahulgandhi,Against ,calls for holding rahul gandhi more accountable for the mess in Maharashtra. ,
2525192,The Congress speaks about Bharat Jodo Yatra but @RahulGandhi seems to be on a mission of Bharat Todo &amp; Bharat Badnami abroad. His meeting with Jeremy Corbyn - a known India baitor - somebody whose positions on Kashmir were rejected even by his own party is not a coincidence 1/n https://t.co/IGpLCHxBNZ,Pro Ruling,"['rahulgandhi', 'congress', 'coincidence']","[{'text': 'rahulgandhi', 'score': 0.6281}, {'text': 'congress', 'score': 0.3908}, {'text': 'coincidence', 'score': 0.1978}]",rahulgandhi,Pro Ruling,rahulgandhi,Against ,says that rahul gandhi is on a mission to break India. ,
1332257,I want his translator’s job. So each time @RahulGandhi says something I can translate it to ‘Rahul Gandhi Has LIED again’!  https://t.co/DtKpyTmAUG,Pro Ruling,"['translator', 'rahulgandhi', 'lied']","[{'text': 'translator', 'score': 0.5402}, {'text': 'rahulgandhi', 'score': 0.5181}, {'text': 'lied', 'score': 0.3124}]",rahulgandhi,Pro Ruling,rahulgandhi,Against ,mockingly calls rahul gandhi a pathological liar. ,
1193488,Congress &amp; @RahulGandhi choosing the side of Khalistan against 🇮🇳 https://t.co/7Ei3aWBr4C,Pro Ruling,"['rahulgandhi', 'congress', 'choosing']","[{'text': 'rahulgandhi', 'score': 0.662}, {'text': 'congress', 'score': 0.4077}, {'text': 'choosing', 'score': 0.2997}]",rahulgandhi,Pro Ruling,rahulgandhi,Against ,accuses rahul gandhi of siding with Khalistanis over India. ,
1593704,"Dear @RahulGandhi Ji,
I found it really hard to SUPPRESS my laughter 😀
You are class apart as always😊🌺 https://t.co/0PIkrDlO63",Pro Ruling,"['laughter', 'rahulgandhi', 'class']","[{'text': 'laughter', 'score': 0.6532}, {'text': 'rahulgandhi', 'score': 0.4708}, {'text': 'class', 'score': 0.3191}]",rahulgandhi,Pro Ruling,rahulgandhi,Against ,sarcastically says that rahul gandhi is a laughing stock. ,
2677330,Global Leader https://t.co/l76XMqqQ4b https://t.co/O5RoMrmmdO,Pro Ruling,"['rahulgandhi', 'leader', 'global']","[{'text': 'rahulgandhi', 'score': 0.69}, {'text': 'leader', 'score': 0.5673}, {'text': 'global', 'score': 0.4403}]",rahulgandhi,Pro Ruling,rahulgandhi,neutral ,no stance on rahul gandhi.,
756378,"Fake News Busted once again by @adgpi.

This time they called out lie of @RahulGandhi &amp; his Media stooge. https://t.co/xJK2FYUYoE",Pro Ruling,"['fake', 'rahulgandhi', 'busted']","[{'text': 'fake', 'score': 0.4556}, {'text': 'rahulgandhi', 'score': 0.4033}, {'text': 'busted', 'score': 0.2994}]",rahulgandhi,Pro Ruling,rahulgandhi,Against ,accusing rahul gandhi of lying. ,
454357,"How I wish my return on investment increased like this! From 10,000 crores to 36,000 crores in a matter of days! @RahulGandhi should be the FM! https://t.co/Vsh3eTgiX7",Pro Ruling,"['investment', 'rahulgandhi', 'fm']","[{'text': 'investment', 'score': 0.4271}, {'text': 'rahulgandhi', 'score': 0.4221}, {'text': 'fm', 'score': 0.2113}]",rahulgandhi,Pro Ruling,rahulgandhi,Against ,mocking rahul gandhi of corruption. ,
1168790,"**Maharashtra Model Exclusive**

Test less lockdown is on why opened RTPCR Center  says in abusive &amp; threatening language Congress MLA from Deoli Ranjit Kamble close aide of @rahulgandhi &amp; @ashokchavanINC to District Health Officer Dr Ajay Davle. https://t.co/vF862VUpI4",Pro Ruling,"['rtpcr', 'rahulgandhi', 'lockdown']","[{'text': 'rtpcr', 'score': 0.4548}, {'text': 'rahulgandhi', 'score': 0.3964}, {'text': 'lockdown', 'score': 0.3665}]",rahulgandhi,Pro Ruling,rahulgandhi,Against ,says close aid of rahul gandhi is abusing and threatening local district health officer. ,
653820,In twitter @RahulGandhi demands compensation for all covid victims but in reality Supreme Court lashed out at his governments in Maharashtra and Rajasthan for failing to pay compensation to Kins of covid victims. They didnt not even make online portals to receive application. https://t.co/DnM6ANgdX3,Pro Ruling,"['compensation', 'rahulgandhi', 'lashed']","[{'text': 'compensation', 'score': 0.4374}, {'text': 'rahulgandhi', 'score': 0.369}, {'text': 'lashed', 'score': 0.2432}]",rahulgandhi,Pro Ruling,rahulgandhi,Against ,calling rahul gandhi hypocritical and also saying that they did not provide any compensation for covid victims and their kins. ,
1993591,"The killers of Rajiv Gandhi were forgiven by @RahulGandhi &amp; @priyankagandhi 

Sonia Gandhi also wrote a  letter in 1999 to President K R Narayanan asking him to commute the capital punishment given to her husband's killers

Now @INCIndia criticize freeing them 

Ridiculous! https://t.co/D1rcb7T0LZ https://t.co/PEZOCkBzJ1",Pro Ruling,"['rahulgandhi', 'punishment', 'capital']","[{'text': 'rahulgandhi', 'score': 0.4646}, {'text': 'punishment', 'score': 0.4311}, {'text': 'capital', 'score': 0.1734}]",rahulgandhi,Pro Ruling,rahulgandhi,Against ,says rahul gandhi forgave his father's killers. ,
644196,@RahulGandhi Maino crying in corner,Pro Ruling,"['crying', 'rahulgandhi', 'corner']","[{'text': 'crying', 'score': 0.5652}, {'text': 'rahulgandhi', 'score': 0.4849}, {'text': 'corner', 'score': 0.327}]",rahulgandhi,Pro Ruling,rahulgandhi,Against ,mocking rahul gandhi.,
1335041,"I swear on the Holy Quran, that @RahulGandhi met Nirav Modi at his cocktail party at Imperial Hotel, Delhi while loans were being given wrongly to Mehul Choksi and Nirav Modi in September of 2013 - @Shehzad_Ind.",Pro Ruling,"['rahulgandhi', 'cocktail', 'loans']","[{'text': 'rahulgandhi', 'score': 0.5187}, {'text': 'cocktail', 'score': 0.3148}, {'text': 'loans', 'score': 0.2302}]",rahulgandhi,Pro Ruling,rahulgandhi,Against ,accusing rahul gandhi of corruption. ,
2827608,"Karnataka police has registered an FIR against @amitmalviya under 153 &amp; 505 - provoking riots, promoting enmity between groups- for his tweet displaying an animation of @RahulGandhi.

Congratulations. India just climbed a few notches in the Democracy Index. #IStandWithAmitMalviya",Pro Ruling,"['rahulgandhi', 'police', 'tweet']","[{'text': 'rahulgandhi', 'score': 0.5842}, {'text': 'police', 'score': 0.4511}, {'text': 'tweet', 'score': 0.1599}]",rahulgandhi,Pro Ruling,rahulgandhi,Against ,showing how an animation of rahul gandhi led to an FIR against the creator. ,
2825116,"What a liar!! @rahulgandhi owns a big farm house in Delhi, for which he took rent more than declared property value 😂 https://t.co/hrqWl0caJX",Pro Ruling,"['rahulgandhi', 'rent', 'liar']","[{'text': 'rahulgandhi', 'score': 0.4816}, {'text': 'rent', 'score': 0.3766}, {'text': 'liar', 'score': 0.3642}]",rahulgandhi,Pro Ruling,rahulgandhi,Against ,mockingly accusing rahul gandhi of being a liar. ,
1142372,"Many believe the toolkit to be true because @RahulGandhi was going out of the way to reach out to foreign academics in an attempt to undermine Indian institutions by levering false charges - be it the EC or Supreme Court.
Proper investigation is required. #CongressToolkitExposed",Pro Ruling,"['rahulgandhi', 'congress', 'academics']","[{'text': 'rahulgandhi', 'score': 0.4452}, {'text': 'congress', 'score': 0.3103}, {'text': 'academics', 'score': 0.2877}]",rahulgandhi,Pro Ruling,rahulgandhi,Against ,accusing rahul gandhi of reaching out to foreign academics to undermine Indian institutions and intelligence. ,
884250,"""Holding massive election rallies in Kerala causing a spike in COVID cases while grandstanding about election rallies else-where, supporting protests but speaking about following COVID guidelines,"" writes @JPNadda calling out @RahulGandhi &amp; Congress on duplicity on rallies

15/n https://t.co/BzEDcxK6XQ",Pro Ruling,"['rallies', 'rahulgandhi', 'congress']","[{'text': 'rallies', 'score': 0.597}, {'text': 'rahulgandhi', 'score': 0.4127}, {'text': 'congress', 'score': 0.3777}]",rahulgandhi,Pro Ruling,rahulgandhi,Against ,calling out rahul gandhi on duplicity during rallies and causing a spike in covid cases. ,
535704,"How did @INCIndia survive for 72 years? 

1.Protests
2.Riots
3.Loot
4.Scams
5. Land Deals
6.Anti India Activities
7.Unlawful Ki!!ings
8.Divide &amp; Rule.. 

All this is getting difficult for @RahulGandhi under @narendramodi Ji's Leadership. 

#किसान_नहीं_कांग्रेस_परेशान_है",Pro Ruling,"['rahulgandhi', 'survive', 'scams']","[{'text': 'rahulgandhi', 'score': 0.5255}, {'text': 'survive', 'score': 0.4306}, {'text': 'scams', 'score': 0.0739}]",rahulgandhi,Pro Ruling,rahulgandhi,Against ,listing out how rahul gandhi and INC survived in india through corruption and unlawful practices. ,
2777982,These are all the findings after 150 days of Anti-National Jodo Yatra of @RahulGandhi.,Pro Ruling,"['rahulgandhi', 'findings', '150']","[{'text': 'rahulgandhi', 'score': 0.4258}, {'text': 'findings', 'score': 0.3833}, {'text': '150', 'score': 0.3017}]",rahulgandhi,Pro Ruling,rahulgandhi,Against ,"accusing rahul gandhi of starting an ""anti-national"" yatra. dig at his bharat jodo yatra ",
2169617,Wanna be PM candidate @RahulGandhi with zero knowledge 😂😂 https://t.co/pZqi4r1rX7,Pro Ruling,"['rahulgandhi', 'candidate', 'zero']","[{'text': 'rahulgandhi', 'score': 0.5362}, {'text': 'candidate', 'score': 0.4162}, {'text': 'zero', 'score': 0.283}]",rahulgandhi,Pro Ruling,rahulgandhi,Against ,mocks rahul gandhi for wanting to be PM when he has no knowledge . ,
1476885,How did @INCIndia know the ad was about @RahulGandhi? https://t.co/MbFNfpL3ia,Pro Ruling,"['rahulgandhi', 'incindia', 'did']","[{'text': 'rahulgandhi', 'score': 0.5974}, {'text': 'incindia', 'score': 0.4115}, {'text': 'did', 'score': 0.1644}]",rahulgandhi,Pro Ruling,rahulgandhi,Against ,undertone of suspicion. ,
1731819,"नाली के कीड़े! 

I thought @RahulGandhi wanted to do Pyaar ji Rajniti but here you have the official spokesperson calling @BJP4India spokesman NAALI KA KEEDA 

Another Congress spokesperson had used Bhadwa Dalaal for an anchor on air

This is what AICC Media Dept sanctions? https://t.co/BvGCjKrL2Y",Pro Ruling,"['rahulgandhi', 'sanctions', 'congress']","[{'text': 'rahulgandhi', 'score': 0.5568}, {'text': 'sanctions', 'score': 0.3664}, {'text': 'congress', 'score': 0.2836}]",rahulgandhi,Pro Ruling,rahulgandhi,Against ,calls rahul gandhi an insect from the gutters. ,
333358,"VEER SAVARKAR &gt;&gt; PANDIT NEHRU 

With love from @OfficeofUT to @RahulGandhi https://t.co/6dm5xIQmyP",Pro Ruling,"['rahulgandhi', 'love', 'officeofut']","[{'text': 'rahulgandhi', 'score': 0.7173}, {'text': 'love', 'score': 0.5285}, {'text': 'officeofut', 'score': 0.3601}]",rahulgandhi,Pro Ruling,rahulgandhi,neutral ,no context given or stance given. ,UNSURE. could be against as there is an underlying tone of sarcasm. 
1002963,"He is the biggest asset for the people who don't want developed India. No he is not a joke factory anymore. He is sleeper cell head asset of foreign powers whose main interest is in unstable India.

He is the most dangerous enemy
Of our country. Half Italian @RahulGandhi
Beware!",Pro Ruling,"['rahulgandhi', 'italian', 'asset']","[{'text': 'rahulgandhi', 'score': 0.4521}, {'text': 'italian', 'score': 0.2451}, {'text': 'asset', 'score': 0.1792}]",rahulgandhi,Pro Ruling,rahulgandhi,Against ,calls rahul gandhi the biggest enemy of india ,
2189317,"Lol, #blastfromthepast. Watch @ShekharGupta and Radia Veer Sanghvi describe @RahulGandhi as a ‘measured and mature politician who never has to regret or take back anything he says’. I am NOT kidding. Do watch :) never gets old! https://t.co/LCQjvgbwjm",Pro Ruling,"['rahulgandhi', 'politician', 'old']","[{'text': 'rahulgandhi', 'score': 0.5362}, {'text': 'politician', 'score': 0.4352}, {'text': 'old', 'score': 0.3242}]",rahulgandhi,Pro Ruling,rahulgandhi,Against ,subtly mocking and sarcastically calling out those who support rahul gandhi. ,
747583,Please ask @RahulGandhi what AC and MC curve in economics. And please do not come back with abuses. https://t.co/oLWCpapS37,Pro Ruling,"['economics', 'curve', 'rahulgandhi']","[{'text': 'economics', 'score': 0.5956}, {'text': 'curve', 'score': 0.4651}, {'text': 'rahulgandhi', 'score': 0.3633}]",rahulgandhi,Pro Ruling,rahulgandhi,Against ,"questions rahul gandhi's scope of knowledge, says it will make citizens abuse him. ",
2535424,"We have not stopped him from slaying… Congress..

Keep slaying😂🤭 @RahulGandhi https://t.co/B3pkZsZfKv",Pro Ruling,"['rahulgandhi', 'congress', 'slaying']","[{'text': 'rahulgandhi', 'score': 0.416}, {'text': 'congress', 'score': 0.4089}, {'text': 'slaying', 'score': 0.3651}]",rahulgandhi,Pro Ruling,rahulgandhi,Against ,mocking rahul gandhi. ,
1108137,"Dear @RahulGandhi 

For 4 years your party, has made every attempt to silence me , harras me because I ask you tough questions. 

You can cost me an anchoring job/ a tv panel BUT never my self-respect 

If you believe in this 👇 let’s debate the Covid crisis

You vs Me. https://t.co/JWhmRNRIff https://t.co/N4MvTTa85r",Pro Ruling,"['rahulgandhi', 'silence', 'panel']","[{'text': 'rahulgandhi', 'score': 0.4806}, {'text': 'silence', 'score': 0.2581}, {'text': 'panel', 'score': 0.2568}]",rahulgandhi,Pro Ruling,rahulgandhi,Against ,accuses rahul gandhi and his party of trying to silence a journalist asking tough questions. ,
2832258,"..@RahulGandhi disqualified as a Member of Lok Sabha from the date of his conviction in the criminal defamation case over his 'Modi surname' remark, March 23.

1..2..3.. Go… Start Crying.. चुडियां फोडो आंदोलन 😂",Pro Ruling,"['rahulgandhi', 'disqualified', 'start']","[{'text': 'rahulgandhi', 'score': 0.5443}, {'text': 'disqualified', 'score': 0.427}, {'text': 'start', 'score': 0.1339}]",rahulgandhi,Pro Ruling,rahulgandhi,Against ,laughs at rahul gandhi's disqualification from Lok Sabha. ,
900447,"So @rahulgandhi was okay with his MP slapping a farmer for asking help him trace his bull...  This was proudly disclosed by MPs son on @sanjukta 's space. 

Shocking 🙏 @INCIndia",Pro Ruling,"['rahulgandhi', 'bull', 'trace']","[{'text': 'rahulgandhi', 'score': 0.5018}, {'text': 'bull', 'score': 0.4461}, {'text': 'trace', 'score': 0.1886}]",rahulgandhi,Pro Ruling,rahulgandhi,Against ,contends that rahul gandhi was okay with his MP slapping a farmer. ,
2217711,@RahulGandhi This account is managed by Capt. Bana Singh's grandson. https://t.co/dP9lOqEShk,Pro Ruling,"['rahulgandhi', 'grandson', 'account']","[{'text': 'rahulgandhi', 'score': 0.4975}, {'text': 'grandson', 'score': 0.4376}, {'text': 'account', 'score': 0.4001}]",rahulgandhi,Pro Ruling,rahulgandhi,neutral ,no stance on rahul gandhi taken. ,
915141,"BATLA HOUSE MAN IS BACK !!

Blue eye boy of Antonia Maino Sonia @salman7khurshid compares Hindutva with ISIS.

Wah Re Chunavi Hindu @RahulGandhi  @priyankagandhi",Pro Ruling,"['rahulgandhi', 'back', 'blue']","[{'text': 'rahulgandhi', 'score': 0.51}, {'text': 'back', 'score': 0.4126}, {'text': 'blue', 'score': 0.2093}]",rahulgandhi,Pro Ruling,rahulgandhi,Against ,"mocking rahul gandhi and also calling sarcastically calling him ""blue eye boy"" ",
1690242,"Now that his two favourites Ambani/Adani are providing tonnes of life-saving O2, what exactly is @RahulGandhi’s own contribution in the battle against #COVIDEmergency2021?",Pro Ruling,"['rahulgandhi', 'o2', '2021']","[{'text': 'rahulgandhi', 'score': 0.5348}, {'text': 'o2', 'score': 0.3883}, {'text': '2021', 'score': 0.2992}]",rahulgandhi,Pro Ruling,rahulgandhi,Against ,questions rahul gandhi's contribution to covid 19 battle. ,
2609087,Will any action be taken on her? @RahulGandhi @priyankagandhi https://t.co/ERyMCzmWlg,Pro Ruling,"['rahulgandhi', 'her', 'action']","[{'text': 'rahulgandhi', 'score': 0.577}, {'text': 'her', 'score': 0.4539}, {'text': 'action', 'score': 0.335}]",rahulgandhi,Pro Ruling,rahulgandhi,neutral ,no stance on rahul gandhi taken. ,
740780,.@RahulGandhi leaves from Parliament https://t.co/icpTFOSfmO,Pro Ruling,"['rahulgandhi', 'parliament', 'leaves']","[{'text': 'rahulgandhi', 'score': 0.3664}, {'text': 'parliament', 'score': 0.3508}, {'text': 'leaves', 'score': 0.2572}]",rahulgandhi,Pro Ruling,rahulgandhi,neutral ,no stance on rahul gandhi taken. only news delivered. ,
2219689,Mr @RahulGandhi &amp; Ms @priyankagandhi https://t.co/vRfJEIbIN8,Pro OPP,"['rahulgandhi', 'mr', 'amp']","[{'text': 'rahulgandhi', 'score': 0.7493}, {'text': 'mr', 'score': 0.4691}, {'text': 'amp', 'score': 0.2636}]",rahulgandhi,Pro Opp,rahulgandhi,neutral ,no stance on rahul gandhi taken. ,
437994,"Mr @RahulGandhi and Ms @priyankagandhi walks on Yamuna Expressway  after other leaders stopped to move further 

They are heading to #Hathras https://t.co/AuwzxXiWaM",Pro OPP,"['walks', 'rahulgandhi', 'yamuna']","[{'text': 'walks', 'score': 0.4825}, {'text': 'rahulgandhi', 'score': 0.4104}, {'text': 'yamuna', 'score': 0.295}]",rahulgandhi,Pro Opp,rahulgandhi,For ,shows rahul gandhi's determination. ,
2787556,Mr @RahulGandhi with Bihar CM Mr Nitish Kumar in Opposition leaders meet in Patna https://t.co/uFMN74LNMQ,Pro OPP,"['rahulgandhi', 'meet', 'opposition']","[{'text': 'rahulgandhi', 'score': 0.4577}, {'text': 'meet', 'score': 0.4165}, {'text': 'opposition', 'score': 0.2146}]",rahulgandhi,Pro Opp,rahulgandhi,neutral ,no stance on rahul gandhi taken. only news delivered. ,
254806,"#AarogyaSetuApp May 2, 2020 Mr @RahulGandhi 👇🏼 https://t.co/fz9NujfVSb",Pro OPP,"['rahulgandhi', 'aarogyasetuapp', '2020']","[{'text': 'rahulgandhi', 'score': 0.7152}, {'text': 'aarogyasetuapp', 'score': 0.4967}, {'text': '2020', 'score': 0.4807}]",rahulgandhi,Pro Opp,rahulgandhi,neutral ,no stance on rahul gandhi taken. only news delivered. ,
