source_row,tweet,tweet_label,_label_norm,keyword,subjects,subjects_scored,stance,stance_reason
116508,"There were people saying Shaheen Bagh should be halted as it’s helping the BJP. I wrote on 31 Jan, amidst BJP’s heightened Hindutva pitch, that an AAP victory was a foregone conclusion and therefore, Shaheen Bagh need not give in to the pressure 
https://t.co/hcyMQDp7ZZ",Pro OPP,pro opposition,shaheen bagh,"['bagh', 'hindutva', 'halted']","[{'text': 'bagh', 'score': 0.479}, {'text': 'hindutva', 'score': 0.3978}, {'text': 'halted', 'score': 0.29}]",For ,shows how there is a false narrative around the protest. 
127521,BJP's Kapil Mishra declares 'won't allow second Shaheen Bagh' amid pro &amp; anti-CAA protests https://t.co/ERaB5qCY33,Pro Ruling,pro ruling,shaheen bagh,"['mishra', 'bagh', 'protests']","[{'text': 'mishra', 'score': 0.4736}, {'text': 'bagh', 'score': 0.4195}, {'text': 'protests', 'score': 0.2078}]",Neutral ,"no stance taken, only news delivered "
48080,"Kid: Give us vote in the name of Balakot

Adult: Give us vote in the name of Shaheen Bagh

Legend: Vote de, Vaccine le",Pro OPP,pro opposition,shaheen bagh,"['vote', 'bagh', 'vaccine']","[{'text': 'vote', 'score': 0.5216}, {'text': 'bagh', 'score': 0.4802}, {'text': 'vaccine', 'score': 0.4367}]",For ,mocks bjp. 
330305,Do you know that #BoycottWilliamDalrymple is part of the group that spread fake news during Shaheen Bagh and internationally spread Hindu hate. Defeat them. This is your biggest opportunity. Don’t cry later. I am already into this war. Join me.,Pro Ruling,pro ruling,shaheen bagh,"['boycott', 'hindu', 'join']","[{'text': 'boycott', 'score': 0.5247}, {'text': 'hindu', 'score': 0.4343}, {'text': 'join', 'score': 0.1931}]",Against ,encouraging and warning people to defeat shaheen bagh or cry later. 
1308089,"Joint venture partnership 

The expected merger of #SinghuBorder and #ShaheenBagh
 Khalistanis and Islamists come together. 

I had long said that the #FarmerProtest is a sequel, in essence #ShaheenBaghSeason-2 https://t.co/MCI61ogCtX",Pro Ruling,pro ruling,shaheen bagh,"['merger', 'protest', 'farmer']","[{'text': 'merger', 'score': 0.4415}, {'text': 'protest', 'score': 0.3319}, {'text': 'farmer', 'score': 0.2382}]",Against ,"shown as an ""islamist movement""."
1013129,"Remember, it took a pandemic for the Shaheen Bagh protest to be suspended. Arrests, communal violence, attacks, govt crackdown, SC intervention couldn't stop it. Farmers protest too is unlikely to give in due to govt's measures",Pro OPP,pro opposition,shaheen bagh,"['protest', 'bagh', 'farmers']","[{'text': 'protest', 'score': 0.5508}, {'text': 'bagh', 'score': 0.3375}, {'text': 'farmers', 'score': 0.2533}]",For ,shows resilience of protesters in the face of horrible things. 
373855,"""We'll cut 'Northeast' from rest of India, use Kanhaiya Kumar to instigate people” 'The Wire' columnist's anti-national rant exposes the agenda behind anti-CAA Shaheen Bagh protests: https://t.co/mqtodcG615 via @eOrganiser",Pro Ruling,pro ruling,shaheen bagh,"['india', 'northeast', 'cut']","[{'text': 'india', 'score': 0.4973}, {'text': 'northeast', 'score': 0.4819}, {'text': 'cut', 'score': 0.3381}]",Against ,claims that shaheeh bagh has anti-national agenda. 
747353,"Pic 1 - How Sardar DS Bindra sold his flat to fund and feed Shaheen Bagh Protestors opposing CAA.

Pic 2,3,4 - Persecuted Sikhs of Afghanistan using CAA to come to India. https://t.co/SZWCaueAWX",Pro Ruling,pro ruling,shaheen bagh,"['sardar', 'protestors', 'india']","[{'text': 'sardar', 'score': 0.5334}, {'text': 'protestors', 'score': 0.3329}, {'text': 'india', 'score': 0.3192}]",Against ,shows how CAA is helping persucted sikhs in Afghanistan and shaheen bagh stops that. 
186469,"‘Symbol of resistance’: #ShaheenBagh protestor #Bilkis among TIME’s most influential people of 2020
https://t.co/lHfe66qCYN",Pro OPP,pro opposition,shaheen bagh,"['protestor', 'bagh', '2020']","[{'text': 'protestor', 'score': 0.5429}, {'text': 'bagh', 'score': 0.4003}, {'text': '2020', 'score': 0.3089}]",For ,Shaheen Bagh leader among Time's most influential people of 2020. global recognition. 
98735,"Sonia, Rahul's statement today on CAA. All journalists again going to Shaheen Bagh.

What's cooking? Is Congress planning something violent?",Pro Ruling,pro ruling,shaheen bagh,"['journalists', 'congress', 'cooking']","[{'text': 'journalists', 'score': 0.447}, {'text': 'congress', 'score': 0.401}, {'text': 'cooking', 'score': 0.334}]",Against ,shows that shaheen bagh is influenced by congress who could be planning violence. 
273922,"What a stellar idea it would be for PM @narendramodi to hand over his social media accounts to the #WomenofShaheenBagh for Women's Day. Let the World see that the PM of India respects women who are protesting for their Democratic rights.

That might help to heal the whole Nation.",Pro OPP,pro opposition,shaheen bagh,"['narendramodi', 'women', 'protesting']","[{'text': 'narendramodi', 'score': 0.4743}, {'text': 'women', 'score': 0.4115}, {'text': 'protesting', 'score': 0.2728}]",For ,mocks modi. 
356547,"Mitroon-mark this tweet : 

#muslimquotasplit is not a random announcement of 2 CONg ruled states 

It is Phase 2 of the Evil Queens sinister plot to Break India once again &amp; u will see Raj CG etc do the same

Phase 1 was Anti CAA protest, Shaheen Bagh &amp; finally #DelhiRiots",Pro Ruling,pro ruling,shaheen bagh,"['muslim', 'phase', 'tweet']","[{'text': 'muslim', 'score': 0.4731}, {'text': 'phase', 'score': 0.2164}, {'text': 'tweet', 'score': 0.2037}]",Against ,"calls it the ""evil queen's sinister plot to break india"". "
1939012,Why the media is not showing this? Why can't you show this @ndtv ? Congress protesting in Shaheen Bagh. https://t.co/aqKlkkHi2K,Pro OPP,pro opposition,shaheen bagh,"['media', 'protesting', 'bagh']","[{'text': 'media', 'score': 0.4641}, {'text': 'protesting', 'score': 0.4582}, {'text': 'bagh', 'score': 0.3127}]",For ,shows how media does not show how congress supports shaheen bagh. 
603410,"Forget Pakistan, how many wokes are willing to shift to Shaheen Bagh or Jamia Nagar and not just show up there for pics? Why do they live in areas populated by communal Hindus? https://t.co/JOsl1BrL7y",Pro Ruling,pro ruling,shaheen bagh,"['hindus', 'populated', 'wokes']","[{'text': 'hindus', 'score': 0.5399}, {'text': 'populated', 'score': 0.3949}, {'text': 'wokes', 'score': 0.251}]",Against ,states that these are areas ruled by communal hindus. 
408133,"Shaheen Bagh shooter Kapil Gujjar joins BJP. 

This person had shot fire on Muslim protesters in Delhi, now he got his reward from BJP. https://t.co/iOTlhW12af",Pro OPP,pro opposition,shaheen bagh,"['muslim', 'joins', 'fire']","[{'text': 'muslim', 'score': 0.4034}, {'text': 'joins', 'score': 0.294}, {'text': 'fire', 'score': 0.2929}]",For ,shows how bjp rewards those who target muslims. 
472826,What are the achievements of Shaheen Bagh protests in the eyes of secular-liberal ecosystem? Has there been any such claims or analysis? I guess the only thing (apart from death and violence that they love) could be that they could get bad press for India in international media?,Pro Ruling,pro ruling,shaheen bagh,"['protests', 'india', 'bagh']","[{'text': 'protests', 'score': 0.5023}, {'text': 'india', 'score': 0.3556}, {'text': 'bagh', 'score': 0.3052}]",Against ,claims that shaheen bagh protesters love death and violence. 
154097,"Right-wing activist enters #ShaheenBagh wearing burqa
@vinitgoenka @AkshayMarathe @sunilbharala

Watch more here: https://t.co/ygrjOoDsic

#ShaheenBaghProtests #CAAProtests #CAA_NRCProtests https://t.co/ASAdfPU2zf",Pro OPP,pro opposition,shaheen bagh,"['burqa', 'protests', 'bagh']","[{'text': 'burqa', 'score': 0.5066}, {'text': 'protests', 'score': 0.481}, {'text': 'bagh', 'score': 0.4186}]",For ,shows how the right is trying to mock and intervene in shaheen bagh.
844843,Farmer union leaders on Friday warned the government that it should not take their agitation lightly and think that it can be handled like the Shaheen Bagh protest against the new citizenship regime. https://t.co/pjpqvkiRJk,Pro OPP,pro opposition,shaheen bagh,"['protest', 'farmer', 'government']","[{'text': 'protest', 'score': 0.4297}, {'text': 'farmer', 'score': 0.3281}, {'text': 'government', 'score': 0.3279}]",Neutral ,no stance taken on shaheen bagh. 
591106,"The BJP leader said people are sporting burqas in Delhi’s Shaheen Bagh protest against the new citizenship law, and added that burqa helps terrorists, thieves and anti-socials elements to hide behind it.

https://t.co/p7a2ITXRGC",Pro OPP,pro opposition,shaheen bagh,"['burqas', 'protest', 'sporting']","[{'text': 'burqas', 'score': 0.7991}, {'text': 'protest', 'score': 0.387}, {'text': 'sporting', 'score': 0.1615}]",Against ,links it to terrorism. 
189752,"Shaheen Bagh is a Name of History, it's a Headquarter of All Democratic &amp; Secular Indian Citizens, The Leaders of This Historical Situations is a ShaheenBagh women's (Dabang Dadi).✊ #BraveWomenOfShaheenBagh https://t.co/kUvihNJspO",Pro OPP,pro opposition,shaheen bagh,"['bagh', 'indian', 'leaders']","[{'text': 'bagh', 'score': 0.5975}, {'text': 'indian', 'score': 0.4512}, {'text': 'leaders', 'score': 0.3462}]",For ,praises shaheen bagh. 
1154020,"Instead spending money on farmers rally and Shaheen bagh extremists , providing them biryanis, ads, shelter, massages, providing them alcohol. Radical left could have built hospitals @sambitswaraj @BJP4India",Pro Ruling,pro ruling,shaheen bagh,"['extremists', 'farmers', 'spending']","[{'text': 'extremists', 'score': 0.4769}, {'text': 'farmers', 'score': 0.3652}, {'text': 'spending', 'score': 0.2844}]",Against ,labels them as extremists. 
184248,"Appointment of Sanjay Hegde as SC's interlocutor important win for Shaheen Bagh: 
- With SC involved, it might give protection from police crackdown for now
- Gives legitimate forum for protesters to put forward  demands to SC (even though legal challenge to CAA is separate)",Pro OPP,pro opposition,shaheen bagh,"['hegde', 'protesters', 'police']","[{'text': 'hegde', 'score': 0.4454}, {'text': 'protesters', 'score': 0.3088}, {'text': 'police', 'score': 0.3002}]",For ,shows some helpful measures for protesters. 
1196885,"This cannot be a co incidence but a well plan strategy of #YogendraYadav to destabilise d cntry. 

-JNU violence- 
-Shaheen bagh-
-Farmers violence-
- Anti CAA &amp; NRC protests 

#Yogendra Yadav was present.

#ArrestYogendraYadav",Pro Ruling,pro ruling,shaheen bagh,"['yogendra', 'protests', 'destabilise']","[{'text': 'yogendra', 'score': 0.602}, {'text': 'protests', 'score': 0.3816}, {'text': 'destabilise', 'score': 0.2742}]",Against ,shows its agenda is to destabilise the country. 
345819,If it is true that protestors at Shaheen Bagh chanted Jinnah Wali Azadi then why do they want CAA to give Indian citizenship to those who are already enjoying Jinnahwali Azadi in Pakistan! Do these Islamo-leftists use their brains or are just pathologically anti India &amp; anti Modi https://t.co/QmMw9047lR,Pro Ruling,pro ruling,shaheen bagh,"['islamo', 'protestors', 'citizenship']","[{'text': 'islamo', 'score': 0.4455}, {'text': 'protestors', 'score': 0.3768}, {'text': 'citizenship', 'score': 0.236}]",Against ,"labels them as ""pathologically anti-india""."
708156,"Use of Indian national flag in US' Capitol protest is condemnable

Also, there was tricolour:

1) During Sharjeel Imam's speech to cut Northeast from India

2) At Shaheen Bagh where 'Jinnah Wali Azadi' slogan was raised

3) At Jamia Nagar where 'Hinduo Se Azadi' slogan was raised",Pro Ruling,pro ruling,shaheen bagh,"['flag', 'indian', 'speech']","[{'text': 'flag', 'score': 0.5583}, {'text': 'indian', 'score': 0.4152}, {'text': 'speech', 'score': 0.3604}]",Against ,says that raising the Indian flag at shaheen bagh is condemnable. 
25852,"So the blatant goondaism on display in India's capital is over with police clearing Shaheen Bagh. However, the scars will remain. Can look the other way and talk diplomatically but fact remains- 53 people would have been alive if people hadnt started blocking random public roads",Pro Ruling,pro ruling,shaheen bagh,"['police', 'scars', 'goondaism']","[{'text': 'police', 'score': 0.3656}, {'text': 'scars', 'score': 0.3619}, {'text': 'goondaism', 'score': 0.3209}]",Against ,"trivialises protest to ""blocking of random roads"". "
320985,"82-year-old Shaheen Bagh protester Bilkis Bano, Gaana singer Isaivani, para-athlete Manasi Joshi and climate activist Ridhima Pandey are the four Indian women who were included in the ‘BBC 100 Women 2020‘ list, released on Tuesday.

https://t.co/9qWkTxkJn8",Pro OPP,pro opposition,shaheen bagh,"['women', '2020', 'protester']","[{'text': 'women', 'score': 0.5382}, {'text': '2020', 'score': 0.2931}, {'text': 'protester', 'score': 0.2371}]",For ,shows how shaheen bagh women leaders were given international recognition and praise. 
1105855,"2020 was the year of state power. From sudden lockdown, jailing activists, outlawing right to love, the State is snatching away individual freedom. But there’s a backlash: 2020 began with Shaheen Bagh, is ending with Singhu Border. #FarmersProtest. My oped in @timesofindia today https://t.co/R4LyCSBeCk",Pro OPP,pro opposition,shaheen bagh,"['2020', 'protest', 'lockdown']","[{'text': '2020', 'score': 0.5123}, {'text': 'protest', 'score': 0.312}, {'text': 'lockdown', 'score': 0.2179}]",For ,shows how state is snatching away individual freedom. 
1855573,"Kejriwal is building a special residential school for Rohingya kids at Nanakhedi (Delhi)

Local Hindu ladies have been protesting against it from last 10 days

Media showed 24x7 protest of Shaheen bagh by M ladies 

But there is completed media black out for this news 👇 https://t.co/hmT0n3ZNdz",Pro Ruling,pro ruling,shaheen bagh,"['hindu', 'protesting', '24x7']","[{'text': 'hindu', 'score': 0.4309}, {'text': 'protesting', 'score': 0.2863}, {'text': '24x7', 'score': 0.0384}]",Neutral ,no stance taken on shaheen bagh. 
43313,"Almost all of the Muslims in Padma list are those who share Hindu culture. Perhaps a symbolism/message from Modi govt that Sharjleels and Shaheen Baghs are not the only faces. I'm feeling optimist for an hour, so I'll settle for this right now.",Pro Ruling,pro ruling,shaheen bagh,"['hindu', 'baghs', 'optimist']","[{'text': 'hindu', 'score': 0.6591}, {'text': 'baghs', 'score': 0.2659}, {'text': 'optimist', 'score': 0.0924}]",Against ,shows hope for other muslims not part of shaheen bagh. 
131972,This video is from #ShaheenBagh - the police did arrive in large numbers to remove barricades and urge protesters to break up and leave. But the women who have been on an #NRC sit in for 20 days plus came forward and the police have retreated. The vigil continues https://t.co/RIOMEYgKN3,Pro OPP,pro opposition,shaheen bagh,"['barricades', 'protesters', 'video']","[{'text': 'barricades', 'score': 0.5206}, {'text': 'protesters', 'score': 0.4817}, {'text': 'video', 'score': 0.335}]",For ,"says the ""vigil continues"", underlying tone of pride. "
2891673,"Haldwani protest could be Shaheen Bagh 2.0: Not just the roadblock but there are other parallels too. Here is what the drama is about

My article  https://t.co/JvTCqJj3Lg",Pro Ruling,pro ruling,shaheen bagh,"['protest', 'bagh', 'parallels']","[{'text': 'protest', 'score': 0.5889}, {'text': 'bagh', 'score': 0.343}, {'text': 'parallels', 'score': 0.2321}]",Against ,"calls it ""drama"". "
1065,"Mother of 3 took her infant to Shaheen Bagh every day though he had a rasping cough &amp; cold. He died in his sleep. The father blames the govt, NRC &amp; CAA for the child's death, not his wife or himself for dragging an infant in bitter cold to the protest zone https://t.co/JKrMwk6MrS",Pro Ruling,pro ruling,shaheen bagh,"['infant', 'cough', 'protest']","[{'text': 'infant', 'score': 0.4346}, {'text': 'cough', 'score': 0.3971}, {'text': 'protest', 'score': 0.2676}]",Against ,shows how protesters blame government for their own wrong doings. 
749325,"Andolan Jivi is the name given by Modiji to people who can't live without protests

Few Andolan Jivis are:

* Yogendra Yadav
* Swara Bhaskar
* Arundhati Roy
* Prashant Bhushan
* Bilkis Dadi of Shaheen Bagh fame

Add few more Andolan Jivis &amp; RETWEET",Pro Ruling,pro ruling,shaheen bagh,"['andolan', 'protests', 'retweet']","[{'text': 'andolan', 'score': 0.542}, {'text': 'protests', 'score': 0.3462}, {'text': 'retweet', 'score': 0.1127}]",Against ,says that these are people who cant live without a protest. Asks to retweet and spread the word. 
312145,"#ShaheenBaghModel | I support Shaheen Baghs all across the country, I stand by my sisters who are protesting against the black law: @warispathan - National Spokesperson, AIMIM https://t.co/q6D4dGx1Yf",Pro Ruling,pro ruling,shaheen bagh,"['protesting', 'black', 'baghs']","[{'text': 'protesting', 'score': 0.461}, {'text': 'black', 'score': 0.3688}, {'text': 'baghs', 'score': 0.359}]",For ,shows support for shaheen bagh. 
136241,"Noida-Faridabad road that’s been blocked by Traffic Police for 2 months was BRIEFLY opened. Now, barricaded once again!

Q: If road can be opened, why not just open it?

Q: 180 meters of road 13A is occupied by #ShaheenBagh protests, why are SO many other KEY roads blocked?

WHY!",Pro OPP,pro opposition,shaheen bagh,"['roads', 'faridabad', 'protests']","[{'text': 'roads', 'score': 0.4806}, {'text': 'faridabad', 'score': 0.4791}, {'text': 'protests', 'score': 0.2782}]",Neutral ,no stance taken on shaheen bagh. 
646627,What started as ‘smash brahminical patriarchy’ has now evolved into hate crimes against Brahmins. Pretty sure he/him/she/her uses ‘Sanghis’ and ‘gaumutra’ as a slur and will poop on a police car as a protest at nearest Shaheen Bagh. https://t.co/wLTWAjlZzx,Pro Ruling,pro ruling,shaheen bagh,"['brahmins', 'hate', 'police']","[{'text': 'brahmins', 'score': 0.5168}, {'text': 'hate', 'score': 0.4461}, {'text': 'police', 'score': 0.2713}]",Against ,claims it is hate crime against Brahmins. 
162102,"Protesting farmers &amp; their dalal-proxies block roads in Delhi, showing they’ve no interest in talks with the govt. They want to disrupt &amp; create anarchy. Dissent is democratic, creating public disorder isn’t. Like #ShaheenBagh this too will end badly — for the anarchists.",Pro Ruling,pro ruling,shaheen bagh,"['protesting', 'roads', 'farmers']","[{'text': 'protesting', 'score': 0.4855}, {'text': 'roads', 'score': 0.3577}, {'text': 'farmers', 'score': 0.2572}]",Against ,claims that the protesters just want to disrupt and create anarchy. 
483815,Delhi police special cell arrests PFI president and secretary in connection with alleged #ShaheenBagh funding,Pro Ruling,pro ruling,shaheen bagh,"['police', 'cell', 'president']","[{'text': 'police', 'score': 0.3526}, {'text': 'cell', 'score': 0.1736}, {'text': 'president', 'score': 0.107}]",Neutral ,"no stance taken, only news delivered "
160114,"Shaheen Bagh Template. Police Barricades Roads where Protests are not happening, and people blame Protestors. Next we will see Visuals of Ambulance stuck in a Barricaded road and Farmers will be blamed even though they are protesting far far away https://t.co/nSPCerXJyx",Pro OPP,pro opposition,shaheen bagh,"['barricades', 'protestors', 'farmers']","[{'text': 'barricades', 'score': 0.5088}, {'text': 'protestors', 'score': 0.4897}, {'text': 'farmers', 'score': 0.2042}]",For ,shows how protesters are blamed for everything even though it’s the police at fault. 
59791,"As the Ruling party inducts Shaheen Bagh protestors, maybe activists who took part are owed an apology from those who claimed the movement was ""anti national""? 
https://t.co/FFgjTBsZvb",Pro OPP,pro opposition,shaheen bagh,"['protestors', 'apology', 'bagh']","[{'text': 'protestors', 'score': 0.5642}, {'text': 'apology', 'score': 0.4895}, {'text': 'bagh', 'score': 0.1887}]",For ,claims that the activists of shaheen bagh are owed an apology for being called anti national. 
113953,"Following Coronavirus,some well-meaning people are asking the women of ShaheenBagh to end the protest.
Fine.
But have you tried putting some of this pressure on the govt to withdraw CAA?
Why expect all responsible behaviour &amp; prudence from oppressed people?
None from oppressors?",Pro OPP,pro opposition,shaheen bagh,"['protest', 'coronavirus', 'putting']","[{'text': 'protest', 'score': 0.4394}, {'text': 'coronavirus', 'score': 0.3932}, {'text': 'putting', 'score': -0.022}]",For ,"calls protesters ""oppressed"" and the State ""oppresor"". "
288347,"""The Shaheen Bagh protest has rattled the Sangh parivar not merely by its persistence but by the number of women at its heart."" | Shah Alam Khan writes.

https://t.co/MiFiWnrsZ2",Pro OPP,pro opposition,shaheen bagh,"['protest', 'bagh', 'women']","[{'text': 'protest', 'score': 0.501}, {'text': 'bagh', 'score': 0.4131}, {'text': 'women', 'score': 0.3465}]",For ,shows how Shaheen bagh had women at its core. 
199358,"BJP: Shaheen Bagh Protestors are supported by AAP

Also BJP: Shaheen Bagh Shooter is supported by AAP
 
Mota bhai, Desperation mein itni jaldi arguments mat badlo ki khud hi ko counter karne lag jayo 😂",Pro OPP,pro opposition,shaheen bagh,"['khud', 'protestors', 'shooter']","[{'text': 'khud', 'score': 0.4482}, {'text': 'protestors', 'score': 0.4222}, {'text': 'shooter', 'score': 0.1367}]",For ,shows how bjp puts forth random arguments to oppose the protest. 
1196140,"1. Farmers' protest:

NHAI suffered a toll revenue loss of ₹814.4 crore till March 16 on account of farmers' protest in 3 states ( Punjab, Haryana, Rajasthan)

2. Shaheen Bagh protest:

News report- commercial showrooms &amp; retail outlets faced losses approximating to ₹150 crore",Pro Ruling,pro ruling,shaheen bagh,"['loss', 'farmers', 'protest']","[{'text': 'loss', 'score': 0.4908}, {'text': 'farmers', 'score': 0.3558}, {'text': 'protest', 'score': 0.3126}]",Against ,shows revenue loss due to protests. 
85228,"Kapil Gujjar who flred at Shaheen Bagh was plotted by Arvind Kejriwal to defame Hindus. Reciting Hanuman Chalisa was all drama. 

#AAPKeTerrorists https://t.co/BOe7FxGzzE",Pro Ruling,pro ruling,shaheen bagh,"['hindus', 'terrorists', 'bagh']","[{'text': 'hindus', 'score': 0.4937}, {'text': 'terrorists', 'score': 0.4011}, {'text': 'bagh', 'score': 0.2982}]",Neutral ,no stance taken on shaheen bagh. 
160938,"If @ArvindKejriwal fails to clear the Islamist mess of #ShaheenBagh before the elections, will you still vote for him? 

Just reply NO or YES.",Pro Ruling,pro ruling,shaheen bagh,"['islamist', 'elections', 'fails']","[{'text': 'islamist', 'score': 0.4765}, {'text': 'elections', 'score': 0.3896}, {'text': 'fails', 'score': 0.1072}]",Against ,"calls it an ""islamist mess"". "
269662,CAA-NRC protests: Shaheen Bagh and Biryani are anti-national https://t.co/8xPDcQaV09,Pro OPP,pro opposition,shaheen bagh,"['protests', 'national', 'bagh']","[{'text': 'protests', 'score': 0.592}, {'text': 'national', 'score': 0.4057}, {'text': 'bagh', 'score': 0.3804}]",For ,subtle mockery of how everything is being labelled as anti-national. 
455801,"#ShaheenBagh 's protestors send BJP IT Cell Head, @amitmalviya , a Rs 1 Cr defamation notice for casting aspersions on the protests through false allegations https://t.co/Dcuc3edjxm",Pro OPP,pro opposition,shaheen bagh,"['protestors', 'send', 'cell']","[{'text': 'protestors', 'score': 0.3936}, {'text': 'send', 'score': 0.3042}, {'text': 'cell', 'score': 0.2335}]",Neutral ,"no stance taken, only news delivered "
197793,"""Tukde-Tukde Gang"" Turning Farmers' Stir Into Shaheen Bagh: BJP's Manoj Tiwari https://t.co/UmI8POOHsT https://t.co/wklAy7hWbU",Pro OPP,pro opposition,shaheen bagh,"['farmers', 'bagh', 'turning']","[{'text': 'farmers', 'score': 0.5431}, {'text': 'bagh', 'score': 0.3316}, {'text': 'turning', 'score': 0.2939}]",Neutral ,"no stance taken, only news delivered "
226565,"On a sit-in for over a month against the #CitizenshipAmendmentAct, women protesters at #ShaheenBagh voted in batches on Saturday so that the agitation remains unaffected https://t.co/Ccj4PsnZ2y",Pro OPP,pro opposition,shaheen bagh,"['protesters', 'women', 'unaffected']","[{'text': 'protesters', 'score': 0.5594}, {'text': 'women', 'score': 0.325}, {'text': 'unaffected', 'score': 0.2994}]",Neutral ,"no stance taken, only news delivered "
395839,"‘Rambhakt’ Gopal shooting in Jamia: A well hatched conspiracy? Here are some questions that need answers

#Jamia #ShaheenBaghProtests
#RambhaktGopal #DelhiPolice

https://t.co/EiAKAn7sZv",Pro Ruling,pro ruling,shaheen bagh,"['rambhakt', 'police', 'shooting']","[{'text': 'rambhakt', 'score': 0.4898}, {'text': 'police', 'score': 0.3291}, {'text': 'shooting', 'score': 0.3289}]",Against ,claims there is a conspiracy going on. 
