keyword,category,keyword_col_count,keyword_col_pro_ruling,keyword_col_pro_ruling_pct,keyword_col_pro_opp,keyword_col_pro_opp_pct,keyword_col_neutral,keyword_col_neutral_pct,fallback_count,fallback_pro_ruling,fallback_pro_ruling_pct,fallback_pro_opp,fallback_pro_opp_pct,fallback_neutral,fallback_neutral_pct
pegasus,Criticism/Scandals,104,15,14.42,85,81.73,4,3.85,2430,249,10.25,1688,69.47,493,20.29
swachhbharat,Government Schemes/Pro-Modi,73,73,100.0,0,0.0,0,0.0,514,492,95.72,13,2.53,9,1.75
nrc,Government Schemes/Pro-Modi,38,16,42.11,16,42.11,6,15.79,1427,490,34.34,713,49.96,224,15.7
ujjwala,Government Schemes/Pro-Modi,37,34,91.89,3,8.11,0,0.0,380,320,84.21,37,9.74,23,6.05
gst,Government Schemes/Pro-Modi,31,13,41.94,18,58.06,0,0.0,6488,3892,59.99,1574,24.26,1022,15.75
amritkaal,Government Schemes/Pro-Modi,27,0,0.0,27,100.0,0,0.0,610,540,88.52,42,6.89,28,4.59
pmay,Government Schemes/Pro-Modi,21,7,33.33,14,66.67,0,0.0,370,339,91.62,10,2.7,21,5.68
shaheenbagh,Opposition/Criticism,15,12,80.0,2,13.33,1,6.67,669,369,55.16,216,32.29,84,12.56
jaishriram,Religious/Nationalist,15,15,100.0,0,0.0,0,0.0,221,206,93.21,6,2.71,9,4.07
newindia,Government Schemes/Pro-Modi,11,11,100.0,0,0.0,0,0.0,6151,3643,59.23,2400,39.02,108,1.76
notebandi,Criticism/Scandals,8,0,0.0,8,100.0,0,0.0,36,5,13.89,30,83.33,1,2.78
jandhan,Government Schemes/Pro-Modi,6,1,16.67,5,83.33,0,0.0,239,182,76.15,54,22.59,3,1.26
mudra,Government Schemes/Pro-Modi,4,2,50.0,0,0.0,2,50.0,370,304,82.16,33,8.92,33,8.92
vandebharat,Government Schemes/Pro-Modi,2,2,100.0,0,0.0,0,0.0,613,523,85.32,28,4.57,62,10.11
pricerise,Economic/Social Issues,1,0,0.0,1,100.0,0,0.0,126,3,2.38,108,85.71,15,11.9
farmersprotest,Economic/Social Issues,1,0,0.0,1,100.0,0,0.0,4219,450,10.67,3111,73.74,658,15.6
g20india,Government Schemes/Pro-Modi,1,0,0.0,0,0.0,1,100.0,953,921,96.64,9,0.94,23,2.41
berozgari,Economic/Social Issues,1,0,0.0,1,100.0,0,0.0,15,5,33.33,9,60.0,1,6.67
harghartiranga,Government Schemes/Pro-Modi,1,1,100.0,0,0.0,0,0.0,696,614,88.22,18,2.59,64,9.2
digitalindia,Government Schemes/Pro-Modi,1,1,100.0,0,0.0,0,0.0,1473,1446,98.17,7,0.48,20,1.36
surgicalstrike,Religious/Nationalist,0,0,0.0,0,0.0,0,0.0,63,27,42.86,19,30.16,17,26.98
article370,Government Schemes/Pro-Modi,0,0,0.0,0,0.0,0,0.0,244,108,44.26,71,29.1,65,26.64
gascylinder,Economic/Social Issues,0,0,0.0,0,0.0,0,0.0,4,0,0.0,4,100.0,0,0.0
jobscrisis,Economic/Social Issues,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0
mehengai,Economic/Social Issues,0,0,0.0,0,0.0,0,0.0,63,8,12.7,48,76.19,7,11.11
caaprotest,Opposition/Criticism,0,0,0.0,0,0.0,0,0.0,104,14,13.46,77,74.04,13,12.5
tripletalaq,Religious/Nationalist,0,0,0.0,0,0.0,0,0.0,43,25,58.14,5,11.63,13,30.23
balakotstrike,Religious/Nationalist,0,0,0.0,0,0.0,0,0.0,1,0,0.0,1,100.0,0,0.0
kisanandolan,Economic/Social Issues,0,0,0.0,0,0.0,0,0.0,66,11,16.67,39,59.09,16,24.24
ayushmanbharat,Government Schemes/Pro-Modi,0,0,0.0,0,0.0,0,0.0,151,141,93.38,5,3.31,5,3.31
godimedia,Criticism/Scandals,0,0,0.0,0,0.0,0,0.0,316,7,2.22,309,97.78,0,0.0
sabkasaath,Government Schemes/Pro-Modi,0,0,0.0,0,0.0,0,0.0,98,73,74.49,9,9.18,16,16.33
sabkavikas,Government Schemes/Pro-Modi,0,0,0.0,0,0.0,0,0.0,172,170,98.84,1,0.58,1,0.58
dalitrights,Economic/Social Issues,0,0,0.0,0,0.0,0,0.0,8,0,0.0,3,37.5,5,62.5
cronycapitalism,Criticism/Scandals,0,0,0.0,0,0.0,0,0.0,7,1,14.29,6,85.71,0,0.0
manipurviolence,Criticism/Scandals,0,0,0.0,0,0.0,0,0.0,97,26,26.8,43,44.33,28,28.87
hatecrime,Criticism/Scandals,0,0,0.0,0,0.0,0,0.0,15,7,46.67,5,33.33,3,20.0
womensafety,Economic/Social Issues,0,0,0.0,0,0.0,0,0.0,82,24,29.27,52,63.41,6,7.32
oxygencrisis,Criticism/Scandals,0,0,0.0,0,0.0,0,0.0,185,18,9.73,100,54.05,67,36.22
vocal4local,Government Schemes/Pro-Modi,0,0,0.0,0,0.0,0,0.0,351,349,99.43,1,0.28,1,0.28
electoralbonds,Criticism/Scandals,0,0,0.0,0,0.0,0,0.0,114,0,0.0,104,91.23,10,8.77
agencymisuse,Criticism/Scandals,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0
edraid,Criticism/Scandals,0,0,0.0,0,0.0,0,0.0,22,4,18.18,7,31.82,11,50.0
saveconstitution,Opposition/Criticism,0,0,0.0,0,0.0,0,0.0,8,0,0.0,8,100.0,0,0.0
rammandir,Religious/Nationalist,0,0,0.0,0,0.0,0,0.0,612,380,62.09,81,13.24,151,24.67
